REGIAO:;CO
UF:;GO
ESTACAO:;MONTE ALEGRE DE GOIAS
CODIGO (WMO):;A032
LATITUDE:;-13,25361111
LONGITUDE:;-46,89027777
ALTITUDE:;552
DATA DE FUNDACAO:;07/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0200 UTC;0;950,9;950,9;950,7;0;24;21,4;24,9;23,9;21,7;21,2;86;81;86;282;2,3;,4;
2024/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0400 UTC;0;950,7;950,9;950,7;0;25,8;20,4;26,4;23,6;21,2;20,2;86;69;72;360;5,1;1,6;
2024/01/01;0500 UTC;0;950,3;950,7;950,3;0;25,4;20,5;25,8;25,3;20,6;20,3;74;72;74;12;7,6;1,6;
2024/01/01;0600 UTC;0;949,7;950,4;949,7;0;24,7;20,5;25,4;24,7;20,6;20,5;77;74;77;297;5,1;1,1;
2024/01/01;0700 UTC;0;949;949,7;948,9;0;23,6;20,9;24,9;23,5;21;20,5;85;77;85;190;3,7;,7;
2024/01/01;0800 UTC;0;949,1;949,1;948,9;0;22,9;21;23,6;22,9;21,2;20,9;89;85;89;164;2,1;,2;
2024/01/01;0900 UTC;0;949,6;949,6;949;11,1;23,2;20,4;24,8;22,5;21,5;20,1;92;78;85;268;3,6;,9;
2024/01/01;1000 UTC;0;950;950;949,6;445,5;25,7;21,2;25,7;23,1;21,5;20,5;88;76;76;96;3;1,1;
2024/01/01;1100 UTC;0;950,6;950,6;949,9;1229,8;26,8;21;26,9;25,7;21,4;20,5;76;70;71;291;5;2,1;
2024/01/01;1200 UTC;0;951,1;951,1;950,6;2029,7;28,3;21,1;28,3;26,8;21,5;20,7;71;65;65;284;6,6;3,1;
