REGIAO:;CO
UF:;MS
ESTACAO:;PARANAIBA
CODIGO (WMO):;A710
LATITUDE:;-19,69555555
LONGITUDE:;-51,18166666
ALTITUDE:;408,06
DATA DE FUNDACAO:;10/11/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;1,2;966,4;966,4;965,2;;23,4;21,8;23,6;23,4;21,9;21,6;91;89;91;165;4,2;2;
2024/01/01;0100 UTC;,6;967,1;967,1;966,4;;23,4;21,9;23,5;23,4;22;21,8;91;91;91;184;4,8;2,8;
2024/01/01;0200 UTC;,2;967,1;967,5;967,1;;23,2;21,5;23,4;23,2;21,8;21,5;91;90;90;220;5,7;1,9;
2024/01/01;0300 UTC;0;966,4;967,1;966,4;;23,1;21,6;23,2;23,1;21,6;21,5;91;90;91;272;2,7;1,8;
2024/01/01;0400 UTC;,2;966;966,4;966;;23,3;21,8;23,3;23,1;21,8;21,5;91;91;91;307;2,9;1,6;
2024/01/01;0500 UTC;,2;965,2;966;965,2;;23,2;21,7;23,4;23,2;21,9;21,7;91;91;91;296;3,9;1,8;
2024/01/01;0600 UTC;0;964,8;965,2;964,8;;23,1;21,7;23,2;23;21,7;21,6;92;91;92;220;2,9;1,3;
2024/01/01;0700 UTC;0;964,3;964,8;964,3;;23,1;21,7;23,1;23;21,7;21,6;92;92;92;226;2,7;1;
2024/01/01;0800 UTC;,2;964,4;964,4;964,2;;23,1;21,8;23,1;23;21,8;21,7;92;92;92;293;2;,9;
2024/01/01;0900 UTC;0;965,1;965,1;964,4;;23,3;21,9;23,3;23,1;22;21,8;92;92;92;92;1,6;,9;
2024/01/01;1000 UTC;0;965,9;965,9;965,1;122,3;23,5;22,2;23,6;23,2;22,3;21,9;92;92;92;18;1,8;,9;
2024/01/01;1100 UTC;0;966,5;966,5;965,9;382,8;24,5;22,7;24,5;23,5;22,8;22,2;92;90;90;9;2,3;,5;
2024/01/01;1200 UTC;0;966,9;966,9;966,5;779,3;25,1;22,1;25,4;24,5;22,8;22,1;90;83;83;10;2,4;1,1;
2024/01/01;1300 UTC;0;967,3;967,3;966,9;996,3;26,1;22;26,2;25,1;22,6;21,9;84;78;78;40;2,4;,8;
2024/01/01;1400 UTC;0;967,4;967,4;967,3;1058,8;26,6;22,1;26,7;26,1;22,4;21,5;78;75;76;10;2,2;,7;
2024/01/01;1500 UTC;0;966,6;967,4;966,6;1971,6;28,3;22,2;28,3;26,5;22,8;21,4;78;68;70;327;2,7;1;
2024/01/01;1600 UTC;0;965,5;966,6;965,5;3152,2;29,9;21,5;30,3;28;22,3;20,5;69;58;61;56;3,7;1,6;
2024/01/01;1700 UTC;0;964,3;965,5;964,3;3107,5;31,1;20,3;31,2;28,8;22;20,1;62;53;53;298;4,6;1,8;
2024/01/01;1800 UTC;0;963,3;964,3;963,3;2493,8;30,2;20,4;32;29,5;21,6;19,8;59;50;56;57;4,6;1,5;
2024/01/01;1900 UTC;0;962,6;963,3;962,6;664,6;28;21,6;30,4;27,9;22;19,9;69;55;68;118;7,1;4;
2024/01/01;2000 UTC;0;961,9;962,6;961,9;1953,2;30,4;21,3;30,8;28;22,3;21;70;58;58;89;6,3;2,2;
2024/01/01;2100 UTC;0;962,1;962,1;961,8;1052,9;29,9;20,4;30,5;29,9;21,6;20,4;60;56;57;72;4,9;1,5;
2024/01/01;2200 UTC;0;962,6;962,6;962,1;192,5;28,7;20,8;30;28,7;20,9;20,5;63;57;62;46;2,9;,9;
2024/01/01;2300 UTC;0;963,4;963,4;962,6;;27,5;21,5;28,7;27,1;21,6;20,8;71;62;70;78;1,9;1,2;
2024/01/02;0000 UTC;0;964,1;964,1;963,4;;26,7;22,1;27,6;26,6;22,1;21,5;76;70;76;75;1,9;1;
2024/01/02;0100 UTC;0;964,8;964,8;964,1;;26,3;21,9;26,7;26,1;22,1;21,8;78;76;77;43;1,9;,6;
2024/01/02;0200 UTC;0;965,3;965,4;964,8;;25,8;22,3;26,5;25,8;22,4;21,8;81;76;81;62;3;1,6;
2024/01/02;0300 UTC;0;964,9;965,4;964,9;;25,4;22,4;25,8;25,1;22,5;22;84;80;84;37;2,7;,5;
2024/01/02;0400 UTC;0;964,4;964,9;964,4;;25,1;21,9;25,4;25,1;22,4;21,8;84;81;82;32;2,7;1,1;
2024/01/02;0500 UTC;0;963,9;964,4;963,9;;25,2;21,7;25,4;25;22,3;21,7;84;81;81;359;2,9;,5;
2024/01/02;0600 UTC;0;963,7;964;963,7;;24,5;22,1;25,3;24,4;22,1;21,6;87;81;87;270;1,9;,7;
2024/01/02;0700 UTC;0;963,4;963,7;963,4;;24,6;22,1;24,9;24,4;22,4;22;88;85;86;269;2,1;,6;
2024/01/02;0800 UTC;0;963,7;963,7;963,4;;24,4;22,2;24,7;24,4;22,3;22,1;88;86;88;270;1,5;,2;
2024/01/02;0900 UTC;0;964;964;963,7;3,6;23,9;22,1;24,4;23,9;22,3;22;90;88;90;160;1,7;,1;
2024/01/02;1000 UTC;0;964,5;964,5;964;193,2;25;22,9;25;23,9;23;22,1;90;88;88;151;,9;0;
2024/01/02;1100 UTC;0;964,5;964,6;964,4;729,4;26,4;22,2;26,5;25;22,9;22;88;78;78;190;1,6;,3;
