REGIAO:;CO
UF:;MS
ESTACAO:;AQUIDAUANA
CODIGO (WMO):;A719
LATITUDE:;-20,47555554
LONGITUDE:;-55,78388888
ALTITUDE:;151,35
DATA DE FUNDACAO:;01/11/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;993,1;993,1;992;;27;23;27,1;26,7;23,6;22,9;82;78;79;103;5,2;1,7;
2024/01/01;0100 UTC;20,4;994,6;994,6;993,1;;24,5;23,3;27;24,5;23,3;22,7;93;78;93;349;7,3;2,6;
2024/01/01;0200 UTC;8,8;993,9;994,7;993,9;;24,1;22,7;24,7;24,1;23,5;22,7;93;92;92;84;6,6;2,8;
2024/01/01;0300 UTC;0;993,6;993,9;993,6;;24,2;22,9;24,3;23,9;22,9;22,4;92;91;92;116;6,2;,7;
2024/01/01;0400 UTC;0;993;993,6;993;;24,8;23;24,9;24,2;23,4;22,9;93;90;90;87;3,8;0;
2024/01/01;0500 UTC;0;992,1;993;992,1;;24,6;23,2;24,9;24,5;23,2;22,9;92;90;92;151;0;0;
2024/01/01;0600 UTC;0;991,4;992,1;991,4;;24,3;22,8;24,6;24,3;23,1;22,8;92;91;92;220;0;0;
2024/01/01;0700 UTC;0;991,4;991,5;991,3;;24,3;22,9;24,4;24,3;23;22,8;92;91;92;237;0;0;
2024/01/01;0800 UTC;,4;991,7;991,7;991,3;;24;22,7;24,3;24;22,9;22,7;93;92;92;309;0;0;
2024/01/01;0900 UTC;0;992,2;992,2;991,7;3,1;24;22,8;24,1;23,9;22,8;22,6;93;92;93;329;0;0;
2024/01/01;1000 UTC;0;993;993;992,2;204,1;24,8;23,4;24,8;24;23,4;22,8;93;92;92;318;0;0;
2024/01/01;1100 UTC;0;993,8;993,8;993;499,3;26,2;23,3;26,2;24,8;23,8;23,2;92;84;84;265;0;0;
2024/01/01;1200 UTC;0;994,1;994,1;993,7;1121,5;27;23,7;27,2;25,9;23,7;22,7;85;78;82;302;0;0;
2024/01/01;1300 UTC;0;994,1;994,3;994,1;1264,4;28;23,1;28,5;27;24,3;23,1;82;74;75;250;,3;0;
2024/01/01;1400 UTC;0;993,7;994,2;993,7;1974;29,7;24;29,7;27,9;24,3;23;78;69;72;6;2,2;,1;
2024/01/01;1500 UTC;0;992,4;993,7;992,4;2867,1;31;23,8;31,9;29,7;24,9;23,1;73;62;65;336;3,8;,3;
2024/01/01;1600 UTC;0;991,6;992,4;991,6;3772;32,7;24,3;33,3;31;25,3;23;67;56;61;349;4,5;,6;
2024/01/01;1700 UTC;0;990,1;991,6;990,1;4105,4;33,7;22,9;34,1;32,6;24,8;21,9;63;50;53;347;4,9;,2;
2024/01/01;1800 UTC;0;989,3;990,1;989,2;1302,9;31,8;24,2;33,7;31,1;24,3;22,3;67;52;64;306;5,8;2,3;
2024/01/01;1900 UTC;0;988,7;989,8;988,7;937,9;30,1;23,6;31,9;29,9;24,4;22,7;70;63;68;359;5,7;2,3;
2024/01/01;2000 UTC;0;989,8;989,9;988,7;464;28,4;22,8;30,5;28,4;24,4;22,7;72;67;72;338;7;2,7;
2024/01/01;2100 UTC;0;990,2;990,5;989,8;86;24,9;22,6;28,4;24,9;22,9;22,4;87;72;87;79;7,4;2,7;
2024/01/01;2200 UTC;0;990,8;990,8;990,2;37,8;24,5;22,6;25;24,4;22,8;22,3;89;86;89;182;5,8;0;
2024/01/01;2300 UTC;,4;991;991,3;990,8;;24,8;23;24,9;24,4;23,2;22,6;92;89;90;83;0;0;
2024/01/02;0000 UTC;0;991,1;991,2;990,5;;24,8;23,3;24,8;24,7;23,3;23;91;90;91;74;2,8;,5;
2024/01/02;0100 UTC;,2;992,1;992,1;991,1;;24,9;23,3;24,9;24,7;23,3;23,1;91;90;90;102;3,9;0;
2024/01/02;0200 UTC;0;992,6;993,1;991,8;;25,1;23,4;25,2;24,8;23,5;23,1;91;90;90;160;3,4;0;
2024/01/02;0300 UTC;0;991,9;992,6;991,9;;24,9;23,4;25,2;24,8;23,4;23,3;91;90;91;114;3,5;0;
2024/01/02;0400 UTC;0;991,5;991,9;991,5;;24,9;23,4;25;24,8;23,5;23,3;92;91;91;135;0;0;
2024/01/02;0500 UTC;0;991,8;991,8;991,5;;25;23,2;25;24,8;23,5;23,2;91;90;90;105;0;0;
2024/01/02;0600 UTC;0;991,3;991,8;991,3;;24,8;23,2;25;24,8;23,2;23,1;91;90;91;29;0;0;
2024/01/02;0700 UTC;0;990,9;991,3;990,7;;24,5;23,2;25;24,5;23,4;23,1;92;90;92;183;0;0;
2024/01/02;0800 UTC;0;991,5;991,5;990,7;;24,9;23,5;24,9;24,5;23,5;23,1;92;92;92;142;0;0;
2024/01/02;0900 UTC;0;992;992;991,3;;24,9;23,4;25;24,9;23,5;23,4;92;91;91;143;0;0;
2024/01/02;1000 UTC;0;992,4;992,4;991,9;69,1;25,4;23,6;25,4;24,9;23,7;23,4;92;90;90;344;2,4;0;
2024/01/02;1100 UTC;0;991,7;992,5;991,7;609,1;26,7;23,8;26,7;25,4;24,3;23,4;90;84;84;341;5,2;1,7;
2024/01/02;1200 UTC;0;991,8;991,9;991,4;1077,8;27,5;23,6;27,6;26,7;24,2;23,4;84;79;79;323;7,1;3,2;
2024/01/02;1300 UTC;0;992,7;992,7;991,8;1622,9;28,1;23,5;28,4;26,7;24;22,9;81;74;76;345;7,9;1,8;
2024/01/02;1400 UTC;0;992,5;992,8;992,5;1537,1;29,1;23,3;29,2;27,9;24,3;22,9;77;70;71;4;5,2;,2;
2024/01/02;1500 UTC;,2;991,7;992,5;991,7;3587,9;31,1;23;31,8;29,1;24,3;22,5;73;59;62;343;5;,9;
2024/01/02;1600 UTC;0;990,3;991,7;990,3;3021,8;32,1;23,9;32,5;30,7;24,5;22,1;65;58;62;327;6,5;1,2;
2024/01/02;1700 UTC;0;990;990,4;990;3213,8;30,7;23,9;33,5;30,1;24,6;22,2;67;54;67;326;8,9;2,8;
2024/01/02;1800 UTC;0;988,7;990;988,7;2740,2;32,8;24,4;32,8;30,5;24,9;22,6;68;58;61;339;7,1;1;
2024/01/02;1900 UTC;0;987,7;988,7;987,7;2621,4;32,6;22,5;33,1;32,1;23,6;21,7;61;52;55;312;4,3;,7;
2024/01/02;2000 UTC;0;987,6;987,7;987,4;739;30,6;23,3;32,8;30,6;23,9;22,8;66;56;65;341;4,2;2;
2024/01/02;2100 UTC;0;987,4;987,6;987,4;337,6;30,4;22,6;30,6;29,8;23,8;22;70;62;63;335;5,2;0;
2024/01/02;2200 UTC;0;988,7;988,7;987,4;91,2;29,5;23,8;30,3;29,4;23,9;22,6;72;63;72;337;3;0;
2024/01/02;2300 UTC;0;989,8;989,8;988,7;;29,2;24,2;29,5;29;24,5;23,8;77;71;74;336;1,7;0;
2024/01/03;0000 UTC;10,8;991,4;991,5;989,8;,6;23,8;22,5;29,2;23,8;24,5;22,5;92;74;92;285;9,3;2,7;
2024/01/03;0100 UTC;2;991,9;991,9;991;;24,6;23,4;24,6;23,8;23,4;22,5;93;92;93;117;6,6;0;
2024/01/03;0200 UTC;,8;991,5;992;990,9;;24,6;23,2;24,6;24,3;23,4;23,1;93;92;92;357;3,2;,3;
2024/01/03;0300 UTC;,4;990,7;991,5;990,7;;24,5;23,2;24,6;24,5;23,3;23,1;93;92;93;177;3,7;0;
2024/01/03;0400 UTC;,2;989,7;990,9;989,2;;24,3;23,1;24,6;24,3;23,3;23;93;93;93;217;3,7;0;
2024/01/03;0500 UTC;,2;988,5;989,7;988,5;;24,4;23,2;24,4;24,2;23,2;23;93;93;93;254;0;0;
2024/01/03;0600 UTC;0;988,6;988,8;988,4;;24,4;23,2;24,5;24,2;23,3;23;93;93;93;311;0;0;
2024/01/03;0700 UTC;0;989,4;989,4;988,6;;24,3;23,1;24,4;24,3;23,2;23;93;93;93;277;0;0;
2024/01/03;0800 UTC;0;989,8;989,8;989,3;;24,2;23;24,3;24,1;23,1;22,8;93;93;93;162;0;0;
2024/01/03;0900 UTC;0;990,3;990,3;989,8;2,3;24,2;23,1;24,2;24,1;23,1;22,9;93;93;93;2;0;0;
2024/01/03;1000 UTC;0;991,4;991,4;990,3;160,7;25;23,8;25;24,2;23,8;23,1;94;93;93;50;0;0;
2024/01/03;1100 UTC;0;992,1;992,1;991,4;523,5;26,6;24,4;26,6;25;24,4;23,7;93;88;88;146;0;0;
2024/01/03;1200 UTC;0;992,5;992,5;992;1338,2;28,1;25,4;28,3;26,6;25,4;24;88;80;85;285;3,1;1,2;
2024/01/03;1300 UTC;0;992,7;992,9;992,5;2116,6;29,7;24,7;30;27,8;25,6;24;85;72;75;323;4,1;2;
2024/01/03;1400 UTC;0;992,3;992,7;992,3;3242;31,5;25,1;31,5;29,6;25,4;24;75;66;69;320;5,5;1,3;
2024/01/03;1500 UTC;0;991,7;992,3;991,7;2919,1;31,8;25;32,1;30,7;25,4;23,3;71;61;68;297;5,8;1,7;
2024/01/03;1600 UTC;0;991,2;991,8;991,2;3419,1;32,9;23,7;33,9;31,7;25,2;22,8;67;54;58;331;6,3;1,1;
2024/01/03;1700 UTC;0;990,7;991,3;990,5;3059,3;31,7;23,6;34,4;31,7;25,1;21,8;62;52;62;114;5,4;2,4;
2024/01/03;1800 UTC;5,2;990,5;990,9;990,5;769,2;24,5;22,1;31,7;24,3;24,4;21,2;87;62;86;200;8;,8;
2024/01/03;1900 UTC;0;989,7;990,6;989,5;475;25,2;21,9;25,6;24,5;22,9;21,4;88;80;82;92;4,5;0;
2024/01/03;2000 UTC;,2;990;990,4;989,6;112,8;24,9;22,4;25,3;24,6;22,8;21,1;88;78;86;265;0;0;
2024/01/03;2100 UTC;0;989,6;990,6;989,6;61,6;24,7;22,2;25,1;24,6;22,7;21,6;88;81;86;229;0;0;
2024/01/03;2200 UTC;0;989,6;989,6;989,2;31,7;24,7;22,5;25;24,6;22,8;22,1;89;84;88;219;0;0;
2024/01/03;2300 UTC;0;990,6;990,6;989,6;;23,9;21,9;24,7;23,9;22,7;21,6;89;86;88;319;0;0;
2024/01/04;0000 UTC;0;990,9;991;990,6;;23,8;21,7;24;23,8;22,1;21,6;90;87;88;75;0;0;
2024/01/04;0100 UTC;0;991,7;991,7;990,9;;23,7;21,8;23,9;23,7;22;21,6;90;88;89;165;0;0;
2024/01/04;0200 UTC;0;992,2;992,2;991,6;;23,4;21,7;23,7;23,4;21,9;21,7;91;89;90;169;0;0;
2024/01/04;0300 UTC;0;991,9;992,3;991,9;;23,3;21,8;23,4;23,2;21,9;21,7;92;90;92;172;0;0;
2024/01/04;0400 UTC;0;991,4;992;991,4;;23,4;22,1;23,5;23,2;22,1;21,8;93;92;93;157;0;0;
2024/01/04;0500 UTC;0;990,6;991,4;990,6;;23,3;22;23,4;23,2;22,1;22;93;92;93;172;0;0;
2024/01/04;0600 UTC;0;990,5;990,8;990,5;;23,1;21,8;23,3;23,1;22,1;21,8;93;92;92;158;0;0;
2024/01/04;0700 UTC;0;990,6;990,6;990,4;;23;21,8;23,2;23;21,9;21,7;93;92;93;36;0;0;
2024/01/04;0800 UTC;0;991;991;990,6;;22,9;21,7;23,1;22,9;21,9;21,7;93;93;93;315;0;0;
2024/01/04;0900 UTC;0;991,3;991,3;991;2,5;22,9;21,8;23,1;22,9;21,9;21,7;93;93;93;148;0;0;
2024/01/04;1000 UTC;0;991,8;991,9;991,3;294,4;24,8;22,3;24,8;22,9;22,7;21,7;93;86;86;132;0;0;
2024/01/04;1100 UTC;0;992,5;992,5;991,8;1066,9;27,1;22,2;27,3;24,8;23,2;21,9;86;73;75;110;0;0;
2024/01/04;1200 UTC;0;993,2;993,2;992,5;1743,4;28,5;22,2;28,8;27,1;23;21,5;77;66;69;164;0;0;
2024/01/04;1300 UTC;0;993,4;993,5;993,2;2557,1;31,1;22,6;31,1;28,5;23,1;21,1;71;58;61;78;0;0;
2024/01/04;1400 UTC;,2;992,9;993,4;992,9;3222;32,4;22,1;32,7;30,6;24,2;21,1;64;52;54;289;2,5;,1;
2024/01/04;1500 UTC;0;992,3;992,9;992,3;3629,3;33,2;22,3;33,2;32,1;23,7;20,1;59;47;53;280;3,1;,3;
2024/01/04;1600 UTC;0;991,9;992,3;991,9;3830,6;34,4;23;34,5;33,2;24,1;21,1;57;46;52;8;3,8;,1;
2024/01/04;1700 UTC;0;991,2;991,9;991,2;3686,2;34,4;23;35,5;33,8;24,3;21,3;56;46;52;41;4,2;,4;
2024/01/04;1800 UTC;0;990,2;991,2;990,2;2180,5;35;22,8;35,8;33,4;24,6;21,8;56;46;49;245;4,1;0;
2024/01/04;1900 UTC;0;989,6;990,2;989,6;1924,4;34,5;23,3;35;32,9;24,5;22,6;61;49;52;181;4,6;,3;
2024/01/04;2000 UTC;0;989,2;989,6;989,2;2058,4;33,7;21,8;35,7;33,7;23,9;21,1;53;45;50;168;3,1;0;
2024/01/04;2100 UTC;0;989,3;989,3;988,8;336,8;32,6;23,2;33,7;32,6;23,6;21,8;59;50;58;149;2,4;0;
2024/01/04;2200 UTC;0;989,9;990,1;989,3;242,1;30,6;23;32,6;30,6;24;22,8;65;57;64;186;4,6;0;
2024/01/04;2300 UTC;0;991,3;991,3;989,9;10,9;28,7;23,6;30,6;28,7;23,9;22,7;74;64;74;354;1,6;0;
2024/01/05;0000 UTC;0;991,7;991,7;991,3;;27,6;22,7;29,1;27,6;24,2;22,6;76;70;74;334;5,5;,1;
2024/01/05;0100 UTC;0;992;992,1;991,7;;26,4;22,1;27,7;26,4;22,7;21,7;77;72;77;32;3,1;0;
2024/01/05;0200 UTC;0;992,6;992,6;992;;25,9;22,6;26,5;25,8;23,2;22,1;85;77;82;273;0;0;
2024/01/05;0300 UTC;0;992,2;992,6;992,2;;25,7;22,5;26;25,7;22,9;22,2;84;80;82;187;0;0;
2024/01/05;0400 UTC;0;991,6;992,3;991,5;;25,4;22,9;25,7;25,2;23,3;22,5;89;82;86;103;0;0;
2024/01/05;0500 UTC;0;991,5;991,6;991,4;;24,9;23,1;25,4;24,7;23,2;22,7;90;86;90;185;1,2;0;
2024/01/05;0600 UTC;0;991;991,5;991;;24,7;23,1;24,9;24,5;23,1;22,8;91;90;91;103;0;0;
2024/01/05;0700 UTC;0;990,9;991;990,8;;24,3;22,8;24,8;24,3;23,1;22,6;91;90;91;348;0;0;
2024/01/05;0800 UTC;0;991,1;991,1;990,8;;24,2;22,9;24,4;24,2;23;22,8;93;91;93;40;0;0;
2024/01/05;0900 UTC;0;991,7;991,7;991,1;2,2;24;22,8;24,3;23,8;23;22,6;93;93;93;60;0;0;
2024/01/05;1000 UTC;0;992,4;992,4;991,7;295,2;26,6;23,5;27,3;24;24,7;22,8;93;82;83;52;0;0;
2024/01/05;1100 UTC;0;993;993;992,4;1051,5;28,5;23,4;28,5;26,2;24,4;23,1;85;73;74;296;0;0;
2024/01/05;1200 UTC;0;993,2;993,2;993;1894,4;30,3;22,6;30,3;28,6;24,1;22,2;75;64;64;323;1,3;0;
2024/01/05;1300 UTC;0;993,2;993,3;993,2;2634,2;31,6;22,2;31,8;30,1;24;21,8;65;57;57;297;2,8;0;
2024/01/05;1400 UTC;0;993;993,2;993;3168;32,9;24,8;33;31,6;24,8;22,5;63;57;62;160;3,3;0;
2024/01/05;1500 UTC;0;992,5;993;992,5;3722,4;34,3;23,3;34,4;32,9;24,5;22;62;50;53;276;4;,2;
2024/01/05;1600 UTC;0;991,7;992,5;991,7;3850,7;35,6;22,8;35,6;33,9;24,4;21,6;57;47;48;178;3,3;0;
2024/01/05;1700 UTC;0;990,8;991,7;990,8;3581,5;35,6;21,9;36,5;34,6;24,1;20,8;53;42;45;351;4,2;0;
2024/01/05;1800 UTC;0;989,8;990,8;989,8;2126,6;35,9;20,8;36;34,3;23,8;20,7;52;41;41;293;4,1;1;
2024/01/05;1900 UTC;0;988,7;989,8;988,6;2525,5;36,7;20,6;36,7;34,3;22,8;20;49;39;39;261;5,6;,5;
2024/01/05;2000 UTC;0;988,3;988,7;988,3;2157,6;35,8;20,2;37,1;35,8;22,5;17,8;45;32;40;275;5,6;,3;
2024/01/05;2100 UTC;0;988,4;988,4;988,2;785,6;34,1;19,2;35,8;34,1;20,7;17,7;45;34;42;263;5,3;0;
2024/01/05;2200 UTC;0;988,9;988,9;988,3;85,5;32,7;20,1;34,1;32,7;20,1;18,4;48;40;48;266;1,2;0;
2024/01/05;2300 UTC;0;989,8;989,8;988,9;,1;29,8;23,5;32,6;29,8;24,4;19,7;72;48;69;40;0;0;
2024/01/06;0000 UTC;0;990,6;990,6;989,8;;29;24,1;29,9;29;24,6;22,3;76;64;75;46;0;0;
2024/01/06;0100 UTC;0;991,1;991,1;990,6;;27,7;23,4;29;27,6;24,5;23,4;80;73;78;49;0;0;
2024/01/06;0200 UTC;0;991,7;991,7;991,1;;27,2;22,7;28,2;27;23,4;22,3;79;72;77;172;0;0;
2024/01/06;0300 UTC;0;991,7;991,9;991,7;;26,5;23;27,5;26,5;23,6;22,3;82;75;81;176;2,9;0;
2024/01/06;0400 UTC;0;991;991,7;990,9;;26,3;23,1;26,5;26;23,8;23,1;87;81;83;24;0;0;
2024/01/06;0500 UTC;0;990,4;991;990,4;;26,3;22,7;26,5;25,8;23,3;22,5;84;79;81;297;1,1;0;
2024/01/06;0600 UTC;0;990,2;990,4;990,1;;25,7;22,8;26,5;25,5;22,8;22,3;84;78;84;173;0;0;
2024/01/06;0700 UTC;0;989,9;990,2;989,9;;25;23;25,7;24,8;23,1;22,8;89;84;89;195;0;0;
2024/01/06;0800 UTC;0;990,4;990,4;989,9;;24,7;22,8;25,1;24,5;23,1;22,8;91;88;89;157;0;0;
2024/01/06;0900 UTC;0;991;991;990,4;1,4;24,7;23,2;24,7;24,4;23,3;22,8;92;89;92;255;0;0;
2024/01/06;1000 UTC;0;991,7;991,7;991;292,7;26,8;23,5;27,1;24,7;24,1;23,2;92;81;82;282;0;0;
2024/01/06;1100 UTC;0;992;992;991,7;1057,3;28,9;24,1;28,9;26,8;24,6;23,1;82;74;76;13;0;0;
2024/01/06;1200 UTC;0;992,5;992,5;992;1900,6;30,5;23,9;30,9;28,8;25,1;23,9;77;67;68;339;4,7;2,3;
2024/01/06;1300 UTC;0;992,4;992,5;992,4;2643,1;31,9;24,2;32,1;30,5;25,1;23,8;70;64;64;333;5,6;2,2;
2024/01/06;1400 UTC;0;991,9;992,4;991,9;3189;33,3;23,9;33,4;31,7;25,6;23,5;67;57;58;337;6,1;2,4;
2024/01/06;1500 UTC;0;991,5;991,9;991,5;3578,2;33,8;24,7;34,7;33;25,6;23,2;62;55;59;316;6,1;2,2;
2024/01/06;1600 UTC;0;991;991,5;991;3228,4;35,6;24,2;35,6;33,4;25,8;22,3;61;47;52;285;6,1;1,2;
2024/01/06;1700 UTC;0;990,3;991;990,3;3575;35,8;22,7;36,1;34,5;24,3;21,6;52;42;47;318;6,9;,7;
2024/01/06;1800 UTC;0;989,2;990,3;989,2;3489,2;36,7;18,3;37;35,8;22,9;17,5;47;33;34;313;5,9;1,8;
2024/01/06;1900 UTC;0;988,7;989,2;988,7;2906,4;36,6;17,8;37,7;36,5;20,9;16,2;40;29;33;321;5,9;1,6;
2024/01/06;2000 UTC;0;988,3;988,6;988,3;2191,2;35,7;21;36,9;35,5;21,9;17,9;45;33;43;302;7,1;,4;
2024/01/06;2100 UTC;0;988,3;988,3;988;646,1;34,6;18,9;35,7;34,5;21,2;17,9;44;36;40;325;4,4;0;
2024/01/06;2200 UTC;0;988,7;988,7;988,3;156,1;33,3;20;34,9;33,2;20,8;18,3;48;38;46;330;1,9;0;
2024/01/06;2300 UTC;0;989,4;989,4;988,6;,2;30,4;22;33,4;30,4;22,6;20,3;63;45;61;43;,6;0;
2024/01/07;0000 UTC;0;989,8;989,9;989,4;;29,7;23,1;30,4;29,3;23,6;21,4;70;59;68;74;0;0;
2024/01/07;0100 UTC;0;990,3;990,3;989,8;;28,7;23,3;29,8;28,5;23,6;22,7;75;66;73;68;0;0;
2024/01/07;0200 UTC;0;990,5;990,6;990,2;;27,5;24,2;28,7;27,1;24,2;23,1;83;73;82;285;0;0;
2024/01/07;0300 UTC;0;990,1;990,5;990,1;;28,3;22,9;28,5;27,4;24,2;22,7;82;71;73;298;0;0;
2024/01/07;0400 UTC;0;989,7;990,1;989,6;;26,9;23,5;28,3;26,9;23,7;22,7;82;73;82;157;0;0;
2024/01/07;0500 UTC;0;989,3;989,7;989,3;;26,3;23,5;26,9;26,2;24,1;23,1;88;82;85;98;0;0;
2024/01/07;0600 UTC;0;989,6;989,6;989,3;;26,2;23,5;26,3;26,1;23,7;23,4;87;85;85;269;0;0;
2024/01/07;0700 UTC;0;989,7;989,7;989,5;;27,6;22,4;28,1;26;23,5;22,1;86;71;73;8;4;0;
2024/01/07;0800 UTC;0;990;990;989,6;;25,9;22,7;27,6;25,8;22,9;22,3;83;74;83;270;0;0;
2024/01/07;0900 UTC;0;990,8;990,8;990;;25,6;22,9;26,1;25,6;23,2;22,5;86;81;85;200;0;0;
2024/01/07;1000 UTC;0;991,3;991,4;990,8;278,5;27,9;23,1;27,9;25,5;24;22,9;87;75;75;251;0;0;
2024/01/07;1100 UTC;0;992;992;991,3;1033,5;30,3;23,6;30,8;28;24;22,8;77;64;68;311;0;0;
2024/01/07;1200 UTC;0;992,5;992,5;992;1870,1;31,9;23,6;32;30,3;24,2;23,1;69;60;62;318;3,6;,1;
