REGIAO:;CO
UF:;MT
ESTACAO:;SORRISO
CODIGO (WMO):;A904
LATITUDE:;-12,555
LONGITUDE:;-55,72277777
ALTITUDE:;379,31
DATA DE FUNDACAO:;16/12/02
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;1;968,2;968,3;967,4;;25,6;23,1;27,4;25,5;23,6;22,6;88;75;86;334;6,1;2;
2024/01/01;0100 UTC;0;969,3;969,3;968,2;;25,2;22,6;25,6;25;23;22,6;88;85;86;341;4,1;1,4;
2024/01/01;0200 UTC;0;969,9;970;969,3;;24,7;22,3;25,3;24,6;22,8;22,3;87;85;87;22;3;1,5;
2024/01/01;0300 UTC;0;969,8;970;969,8;;25;21,9;25,1;24,6;22,3;21,9;87;82;83;325;3;1,1;
2024/01/01;0400 UTC;0;969,5;969,8;969,5;;24,6;22;25,1;24,6;22,1;21,9;86;83;86;336;2,7;,9;
2024/01/01;0500 UTC;0;968,8;969,5;968,8;;24,7;22;24,7;24,6;22,1;21,9;86;85;85;313;2,5;,7;
2024/01/01;0600 UTC;0;968,3;968,8;968,3;;24,6;21,8;24,8;24,6;22;21,8;85;84;85;306;3,3;1,8;
2024/01/01;0700 UTC;0;968,1;968,3;968;;25;22;25;24,5;22,1;21,8;85;83;84;339;3,4;1,5;
2024/01/01;0800 UTC;0;967,9;968,1;967,9;;25;21,6;25,1;24,8;22,1;21,6;85;81;81;307;3,7;1,2;
2024/01/01;0900 UTC;0;968,7;968,7;967,9;;24,4;21,8;25,2;24,4;21,8;21,1;86;79;86;238;4,4;2,3;
2024/01/01;1000 UTC;0;969,3;969,3;968,5;22,7;24,4;22;24,4;24;22,1;21,9;88;86;87;246;4,4;,8;
2024/01/01;1100 UTC;0;969,6;969,6;969,3;282,9;25,1;22,2;25,1;24,3;22,4;21,9;87;83;84;304;2,3;,7;
2024/01/01;1200 UTC;0;970,2;970,2;969,5;960,7;26,4;22,3;26,7;25,1;22,7;21,9;84;76;78;240;3,5;1,9;
2024/01/01;1300 UTC;0;970,9;970,9;970,2;1003,8;26,9;23;27;26,2;23,1;22,2;81;78;79;319;4,1;2;
2024/01/01;1400 UTC;0;970,3;970,9;970,3;1437,7;28,7;23,5;28,7;26,8;23,8;22,5;80;73;73;244;4;1,9;
2024/01/01;1500 UTC;0;969,3;970,3;969,2;3285;27,8;24,2;30,5;27,7;24,7;22,4;81;65;81;270;8,1;2,6;
2024/01/01;1600 UTC;,2;968;969,3;968;3509,1;29,1;22,6;30;27,6;25,1;21,7;84;63;68;338;7,5;3,9;
2024/01/01;1700 UTC;0;966,5;968;966,5;2614,5;28,6;24,1;30,1;28,3;24,6;22,6;78;67;77;2;6,1;2,5;
2024/01/01;1800 UTC;1;966;966,5;966;1006,2;27,5;23,5;30;26,5;24,8;22,3;85;65;79;89;7,8;2,3;
2024/01/01;1900 UTC;,4;965,8;966,1;965,7;276,9;25,2;23,2;27,5;25,2;24,2;22,9;88;79;88;69;5,4;3,1;
2024/01/01;2000 UTC;14,2;966,4;966,5;965,7;48,4;23,7;22,5;25,5;23,7;23,6;22,3;93;88;93;281;7,6;3,1;
2024/01/01;2100 UTC;3;966,2;966,4;965,8;59,2;24,4;22,9;24,4;23,5;23;22,4;94;92;92;339;6,6;2;
2024/01/01;2200 UTC;0;966,8;967,2;966,2;39,3;24,1;22,8;24,6;24,1;23,4;22,8;93;92;93;294;7,1;1,1;
2024/01/01;2300 UTC;1,8;967,8;967,8;966,8;;24;22,8;24,1;24;22,9;22,7;93;92;93;354;5,1;2,6;
2024/01/02;0000 UTC;2,6;969,7;969,7;967,7;;23,1;22;24,3;23,1;23,3;22;94;92;94;254;9,2;2,6;
2024/01/02;0100 UTC;11,6;970,4;970,4;969,7;0;22,6;21,6;23,1;22,3;22;21,3;95;93;94;220;7;1,9;
2024/01/02;0200 UTC;3,2;970,7;970,7;970,4;;22,9;21,9;22,9;22,6;21,9;21,5;94;94;94;186;3;,7;
2024/01/02;0300 UTC;,6;970,2;970,7;970,2;;22,9;22;22,9;22,8;22;21,9;95;94;95;354;1,7;,5;
2024/01/02;0400 UTC;,4;969;970,2;969;;22,7;21,8;22,9;22,7;22;21,8;95;95;95;347;2,5;1,6;
2024/01/02;0500 UTC;,6;968,3;969;968,3;;22,6;21,8;22,7;22,6;21,8;21,7;95;95;95;8;2,6;,7;
2024/01/02;0600 UTC;,2;967,8;968,3;967,8;;22,7;21,8;22,7;22,6;21,8;21,7;95;95;95;1;1,3;,6;
2024/01/02;0700 UTC;0;967,4;967,8;967,4;;22,7;21,8;22,7;22,7;21,9;21,8;95;95;95;352;1,8;1,1;
2024/01/02;0800 UTC;,2;967,4;967,4;967,3;;22,6;21,7;22,7;22,6;21,8;21,7;95;95;95;346;3;1,3;
2024/01/02;0900 UTC;0;967,9;967,9;967,4;;22,6;21,8;22,7;22,6;21,8;21,7;95;95;95;318;2,9;1,1;
2024/01/02;1000 UTC;0;968,3;968,3;967,9;49,3;22,7;21,9;22,7;22,5;21,9;21,7;95;95;95;304;3,1;1,2;
2024/01/02;1100 UTC;0;968,5;968,5;968,2;339,2;23,2;22,4;23,3;22,6;22,4;21,8;95;95;95;284;3;1,4;
2024/01/02;1200 UTC;0;968,9;968,9;968,5;879;24,3;22,7;24,4;23,2;23,1;22,4;95;91;91;316;3;1,2;
2024/01/02;1300 UTC;0;969,4;969,4;968,9;1232,9;25,8;23;26;24,3;23,5;22,7;92;84;84;290;4,7;1,9;
2024/01/02;1400 UTC;0;969,1;969,4;969,1;2453,9;28,6;23,6;28,6;25,7;24;22,7;86;74;74;283;4,7;1,9;
2024/01/02;1500 UTC;,2;968,6;969,1;968,6;3277,6;29,2;22,3;30;28;24,2;22,3;76;65;66;245;5,2;2,4;
2024/01/02;1600 UTC;0;967,9;968,6;967,9;2425,3;30,1;22,4;30,3;29,1;23,9;22;70;63;64;259;6;2,5;
2024/01/02;1700 UTC;0;966,7;967,9;966,7;3095,3;29,8;23;31,7;29,8;24,1;22,1;69;59;67;256;6,7;2,6;
2024/01/02;1800 UTC;0;965,4;966,7;965,4;1870;28,8;22;31,5;27,8;24,3;21,5;71;61;67;202;9,3;2,6;
2024/01/02;1900 UTC;3,2;964,6;965,6;964,6;740,2;24,9;23;28,9;24,1;23;21;89;65;89;320;7,2;1;
2024/01/02;2000 UTC;0;964,3;964,6;964,3;754,4;27,7;23,9;27,7;24,9;24,2;22,8;90;78;80;221;2,3;,9;
2024/01/02;2100 UTC;0;964,5;964,5;964,1;278,4;25,8;23;28,1;25,8;23,5;22,6;85;75;85;122;4,8;3;
2024/01/02;2200 UTC;0;965,6;965,6;964,4;59,5;24,8;22,7;25,8;24,8;23,1;22,5;89;85;88;191;6,4;1,5;
2024/01/02;2300 UTC;0;966,4;966,5;965,6;,2;24,7;21,9;24,9;24,5;22,8;21,9;89;84;84;297;3,1;,6;
2024/01/03;0000 UTC;0;967,5;967,5;966,4;;24,6;22;24,8;24,6;22,9;21,9;90;84;85;246;4,1;2,2;
