REGIAO:;CO
UF:;MT
ESTACAO:;COMODORO
CODIGO (WMO):;A913
LATITUDE:;-13,70805555
LONGITUDE:;-59,7625
ALTITUDE:;576,87
DATA DE FUNDACAO:;28/11/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;948,8;948,9;948,3;;22,8;21,7;23,2;22,8;21,9;21,6;93;92;93;321;1,7;0;
2024/01/01;0100 UTC;0;949,5;949,5;948,8;;22,3;21,3;22,9;22,3;21,8;21,3;94;93;94;35;,7;0;
2024/01/01;0200 UTC;0;950,6;950,6;949,5;;22,5;21,5;22,5;22,2;21,5;21,2;94;94;94;284;1,8;1,1;
2024/01/01;0300 UTC;0;950,8;951;950,6;;22,1;21;22,6;22,1;21,5;21;94;93;93;323;2,3;0;
2024/01/01;0400 UTC;0;950,4;950,8;950,4;;21,6;20,7;22,1;21,5;21;20,5;94;93;94;231;1,1;,2;
2024/01/01;0500 UTC;0;949,9;950,4;949,9;;21,8;20,7;21,9;21,6;20,8;20,6;94;93;93;294;2,6;1,9;
2024/01/01;0600 UTC;,2;949,4;949,9;949,4;;22,2;21;22,2;21,8;21;20,7;93;92;93;304;4,1;1,8;
2024/01/01;0700 UTC;0;948,8;949,4;948,8;;22,3;21,1;22,3;22,1;21,1;20,9;93;93;93;297;3;2,1;
2024/01/01;0800 UTC;0;948,3;948,8;948,3;;21,9;20,6;22,3;21,8;21,1;20,6;94;93;93;310;3,8;1,9;
2024/01/01;0900 UTC;0;948,4;948,4;948,2;;21,2;20,1;21,9;21,2;20,6;20,1;93;93;93;299;2,8;1,3;
2024/01/01;1000 UTC;0;949,2;949,2;948,4;23,4;21,2;20,2;21,2;20,9;20,2;19,9;94;93;94;300;2,1;,7;
2024/01/01;1100 UTC;0;950,3;950,3;949,2;272,9;21,9;20,5;22;21,2;20,7;20,2;94;91;92;319;2,2;1,3;
2024/01/01;1200 UTC;0;951,2;951,2;950,3;423,3;22,4;20,7;22,5;21,9;21;20,4;92;90;90;293;3,4;2,3;
2024/01/01;1300 UTC;,2;951,6;951,6;951,2;1040,8;23,2;20,1;23,3;22,2;20,9;20;90;83;83;290;4,4;3,2;
2024/01/01;1400 UTC;0;951,5;951,6;951,5;1614,8;25;20,7;25,4;23,2;21,5;19,7;84;75;77;265;5,7;3,2;
2024/01/01;1500 UTC;0;951,1;951,5;951,1;1409,8;25,4;21,2;25,5;24,9;21,6;20,4;80;76;78;286;5,2;2,6;
2024/01/01;1600 UTC;0;950,2;951,1;950,2;2815,1;26,6;20,7;26,9;25,1;22,1;20,3;79;69;70;304;6,5;3,2;
2024/01/01;1700 UTC;0;948,9;950,2;948,9;2847,5;28;20,6;28,2;26,5;21,6;20,3;73;64;64;273;9,4;4,2;
2024/01/01;1800 UTC;0;948;948,9;948;3070,7;28,7;21,4;29,2;26,8;22,3;20,2;72;61;65;297;8;4,9;
2024/01/01;1900 UTC;7,2;948;948;947,7;983,7;22;20,7;28,8;22;21,8;20,2;92;63;92;322;8,9;5;
2024/01/01;2000 UTC;4;947;948,1;947;251,5;22,3;21;22,4;22;21,1;20,7;93;91;92;295;10,6;2,7;
2024/01/01;2100 UTC;0;947,1;947,1;946,9;335,1;22,3;20,7;22,4;22,1;21,1;20,2;92;89;91;288;4,2;2,2;
2024/01/01;2200 UTC;0;947;947,3;947;277,7;22,2;20,6;22,5;22,1;21;20,3;91;89;91;318;3,9;,8;
2024/01/01;2300 UTC;0;947,7;947,7;947;38,5;21,6;20,4;22,2;21,6;20,7;20,3;93;90;93;53;1,6;,7;
2024/01/02;0000 UTC;0;948,5;948,5;947,6;;21,3;19,8;21,6;21,3;20,4;19,7;93;91;91;355;2,7;,9;
2024/01/02;0100 UTC;0;949,4;949,4;948,5;;21,1;19,8;21,3;21,1;20;19,7;92;91;92;14;2,4;1;
2024/01/02;0200 UTC;0;950,2;950,2;949,4;;21,3;19,8;21,3;21,1;19,8;19,5;92;90;91;328;2,3;,1;
2024/01/02;0300 UTC;0;949,9;950,3;949,8;;21;19,9;21,3;21;20;19,8;94;91;93;84;,9;0;
2024/01/02;0400 UTC;0;949,4;949,9;949,4;;21,5;20,3;21,5;20,9;20,4;19,8;94;93;93;3;3;1,5;
2024/01/02;0500 UTC;0;949;949,4;949;;21,6;20,4;21,6;21,5;20,4;20,3;93;93;93;347;3;,7;
2024/01/02;0600 UTC;0;948,5;949;948,5;;21,5;20,3;21,6;21,5;20,4;20,3;93;93;93;313;2;,9;
2024/01/02;0700 UTC;0;948,2;948,5;948,2;;21,5;20,4;21,6;21,4;20,4;20,3;94;93;94;242;1,7;0;
