REGIAO:;CO
UF:;MT
ESTACAO:;PARANATINGA
CODIGO (WMO):;A915
LATITUDE:;-14,42138888
LONGITUDE:;-54,0361111
ALTITUDE:;476,91
DATA DE FUNDACAO:;19/12/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;956,7;956,7;956;0;24,5;22;26,5;24,4;22,4;21,6;86;76;86;358;3,5;1,5;
2024/01/01;0100 UTC;;957,8;957,8;956,7;0;24,8;22,4;25,2;24,5;22,5;22;87;84;87;2;3;1;
2024/01/01;0200 UTC;;958,8;958,8;957,8;0;24,3;22,2;26,1;24,3;23;21,8;88;82;88;251;7,2;4,4;
2024/01/01;0300 UTC;;958,6;958,9;958,6;,1;23,3;22,1;24,3;23,3;22,2;21,7;93;88;93;106;6,7;,5;
2024/01/01;0400 UTC;;957,9;958,6;957,9;0;23,5;22,4;23,5;23,3;22,4;22,1;94;93;94;168;2;,7;
2024/01/01;0500 UTC;;957,1;957,9;957,1;0;23;22;23,5;23;22,4;22;94;94;94;149;2;,2;
2024/01/01;0600 UTC;;957,1;957,2;957,1;0;23,2;22,2;23,4;23;22,4;22;94;94;94;137;1,5;,5;
2024/01/01;0700 UTC;;956,9;957,1;956,9;0;23,4;22,5;23,5;23,1;22,6;22,2;94;94;94;178;1,1;0;
2024/01/01;0800 UTC;;956,9;956,9;956,7;0;23,3;22,4;23,5;23,3;22,6;22,3;95;94;95;165;,8;0;
2024/01/01;0900 UTC;;957,1;957,1;956,9;0;23,2;22,3;23,3;23,2;22,4;22,3;95;95;95;42;0;0;
2024/01/01;1000 UTC;;957,7;957,7;957,1;52,2;23,5;22,6;23,5;23,2;22,6;22,3;95;95;95;160;0;0;
2024/01/01;1100 UTC;;958,8;958,8;957,7;461,8;24,6;23,4;24,6;23,5;23,5;22,6;95;94;94;122;0;0;
2024/01/01;1200 UTC;;959,2;959,2;958,8;985,3;25,6;22,9;25,8;24,6;23,6;22,6;94;84;85;139;1,3;0;
2024/01/01;1300 UTC;;959,4;959,4;959,2;831;26,1;22,8;26,1;25,5;23,2;22,4;86;81;82;259;2,9;1,8;
2024/01/01;1400 UTC;;958,8;959,4;958,8;1177,9;26,4;22,8;26,6;26,1;23,2;22,1;83;78;81;252;4,6;1,9;
2024/01/01;1500 UTC;;958;958,8;958;1348,8;27,3;22,9;27,3;26,4;23,2;21,9;81;76;77;232;3,5;1,7;
2024/01/01;1600 UTC;;957;958,1;957;2022,9;27,2;23,6;27,4;23,6;24,4;21,5;91;75;81;56;6,3;,6;
2024/01/01;1700 UTC;;956,2;957;956,2;3088,7;29,2;22,8;29,7;27;23,9;21,9;81;65;68;47;3,1;1,1;
2024/01/01;1800 UTC;;955,8;956,3;955,8;966,2;23;22,1;29,6;22,6;23,2;21,1;94;62;94;270;12;2,9;
2024/01/01;1900 UTC;;955,2;955,9;955,2;244,6;23,3;21,9;23,6;23;22,5;21,8;94;92;92;194;4,6;1,9;
2024/01/01;2000 UTC;;955,2;955,2;955,1;95;23,2;22;23,4;23,1;22,2;21,8;93;92;93;191;3,3;1,4;
2024/01/01;2100 UTC;;954,9;955,2;954,7;75,7;23;22;23,2;22,9;22;21,7;94;92;94;86;2,4;,3;
2024/01/01;2200 UTC;;955,8;955,8;954,9;31,9;23;22;23,1;22,8;22,1;21,7;94;94;94;348;2,3;1,1;
2024/01/01;2300 UTC;;956,4;956,4;955,8;2;23,4;22,3;23,5;23;22,4;22;94;94;94;254;2,1;1,2;
2024/01/02;0000 UTC;;957,2;957,2;956,4;0;23,2;22,2;23,5;23,1;22,4;22,1;94;93;94;183;2,1;,8;
2024/01/02;0100 UTC;;957,8;957,8;957,2;,3;23,1;22,2;23,2;23;22,2;22;95;94;94;260;1,7;0;
2024/01/02;0200 UTC;;958,1;958,2;957,8;,2;23,1;22,1;23,2;23;22,3;22;95;94;94;264;2;,6;
2024/01/02;0300 UTC;;957,8;958,1;957,8;1,7;23,1;22,2;23,2;23;22,2;22,1;95;94;95;61;1,3;0;
2024/01/02;0400 UTC;;957,3;957,8;957,3;1,1;23;22,1;23,1;23;22,2;22,1;95;95;95;21;0;0;
2024/01/02;0500 UTC;;956,6;957,3;956,6;,9;23,5;22,6;23,5;23;22,6;22,1;95;95;95;331;2,8;1,8;
2024/01/02;0600 UTC;;956,2;956,6;956,2;1;23,3;22,2;23,5;23,3;22,6;22,2;95;94;94;290;2,8;1,7;
2024/01/02;0700 UTC;;956,1;956,2;956;,7;23,3;22,2;23,3;23,2;22,2;22,1;94;94;94;276;3,2;1,9;
2024/01/02;0800 UTC;;956;956,1;955,8;1,4;23,1;22,1;23,3;23,1;22,2;22;94;94;94;282;2,7;1,3;
2024/01/02;0900 UTC;;956,3;956,3;956;2,2;23,2;22,1;23,2;23,1;22,2;22,1;94;94;94;271;3,6;2;
2024/01/02;1000 UTC;;956,6;956,6;956,3;34,2;23,4;22,2;23,4;23,2;22,3;22,1;94;93;93;267;3,2;1,9;
2024/01/02;1100 UTC;;957,2;957,2;956,6;514,2;24,5;22,4;24,6;23,4;22,8;22,2;93;88;88;257;4,7;3,1;
2024/01/02;1200 UTC;;957,5;957,5;957,1;1329,8;25,5;22,6;25,7;24,4;23;22,2;89;84;84;256;5,7;3,4;
2024/01/02;1300 UTC;;957,8;957,8;957,5;1875,5;26,1;22,5;26,1;25,2;23,3;21,9;86;80;80;261;6,5;4;
2024/01/02;1400 UTC;;957,7;958;957,7;2341,7;27,1;22,4;27,6;26,1;23,3;22,4;82;75;76;268;6,7;4,1;
2024/01/02;1500 UTC;;956,7;957,7;956,7;2788,7;28,2;22,8;28,7;27;23,6;22,2;78;70;72;267;7,4;4,3;
2024/01/02;1600 UTC;;955,7;956,7;955,7;2605,9;28,8;22,6;29,4;27,8;23,8;22,1;75;67;69;270;7,7;4,5;
2024/01/02;1700 UTC;;954,9;955,7;954,9;3032,7;29,3;22,9;30,2;28,2;23,8;21,7;71;64;68;257;11,4;6,9;
2024/01/02;1800 UTC;;954,3;954,9;954,3;3212,3;28,9;22,8;29,9;28;23,9;22,2;73;66;69;254;11,4;7,2;
2024/01/02;1900 UTC;;953,6;954,2;953,5;1542,7;28,1;22;28,9;27,8;22,9;21,6;73;68;70;251;11,3;4,6;
2024/01/02;2000 UTC;;953,5;953,6;953,3;1056,7;28,5;21,6;28,5;28,1;22,7;21,5;72;66;66;234;7,9;3,6;
2024/01/02;2100 UTC;;953,5;953,6;953,4;828,9;28,4;22;29;28,2;22,4;21,5;70;65;68;247;6;1,3;
2024/01/02;2200 UTC;;953,8;953,8;953,5;363;27;22,8;28,8;27;23,1;21,5;78;66;78;86;3,5;1,3;
2024/01/02;2300 UTC;;954,6;954,6;953,8;5,3;26;22,7;27;25,9;23,2;22,7;84;78;82;6;2,2;,8;
2024/01/03;0000 UTC;;955;955;954,6;0;25,3;22,9;26;25,3;22,9;22,6;87;82;87;16;1,8;,2;
2024/01/03;0100 UTC;;956;956;955;0;24,9;22,8;25,3;24,9;23,1;22,8;88;86;88;53;1,7;,5;
2024/01/03;0200 UTC;;956,2;956,2;956;0;24,2;22,5;24,9;24,2;22,7;22,4;90;88;90;70;2;,6;
2024/01/03;0300 UTC;;956,4;956,6;956,2;0;23,9;22,6;24,2;23,9;22,7;22,3;92;90;92;15;1,5;0;
2024/01/03;0400 UTC;;955,9;956,4;955,9;0;24;22,6;24;23,9;22,8;22,6;93;92;92;7;3,5;1,9;
2024/01/03;0500 UTC;;955,3;955,9;955,3;0;23,9;22,6;24;23,9;22,6;22,5;93;92;92;21;3,5;,3;
2024/01/03;0600 UTC;;954,8;955,3;954,8;0;23,6;22,3;23,9;23,6;22,6;22,3;93;92;92;47;1,8;0;
2024/01/03;0700 UTC;;954,7;954,8;954,5;0;23,8;22,4;23,8;23,5;22,4;22,2;93;91;92;326;2,9;1,5;
2024/01/03;0800 UTC;;954,7;954,7;954,6;0;23,7;22,2;23,9;23,7;22,4;22,2;92;90;91;303;4,4;2,3;
2024/01/03;0900 UTC;;955,5;955,5;954,7;0;23,7;22,3;23,8;23,5;22,4;22,1;92;91;92;283;4,7;2,4;
2024/01/03;1000 UTC;;956,1;956,2;955,5;79,6;24;22,6;24;23,5;22,6;22,3;93;91;92;347;3,7;1,5;
