REGIAO:;NE
UF:;BA
ESTACAO:;CRUZ DAS ALMAS
CODIGO (WMO):;A406
LATITUDE:;-12,67555554
LONGITUDE:;-39,08944444
ALTITUDE:;219,76
DATA DE FUNDACAO:;19/01/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0700 UTC;0;988,9;988,9;988,7;1862,7;27,3;20,2;27,7;26,1;21,7;19,7;76;63;65;81;6,2;1,9;
2024/01/01;0800 UTC;0;988,8;989;988,8;2171,6;29,2;19,2;29,2;27,3;21;19,2;66;55;55;8;5,4;1,3;
2024/01/01;0900 UTC;0;988,2;988,8;988,2;2767,3;29,6;19,3;30,1;29,1;20,2;18,5;58;51;54;103;6,1;,7;
2024/01/01;1000 UTC;0;987,5;988,2;987,5;2521,2;31;19,3;31;29,6;20,3;18,5;55;49;50;120;7,6;3,2;
2024/01/01;1100 UTC;0;986,4;987,5;986,4;2373,1;31,3;19,4;31,4;30,5;19,8;18,3;52;48;49;99;7,6;,9;
2024/01/01;1200 UTC;0;985,3;986,4;985,3;1652,5;31;19,3;31,3;30,6;19,8;18,2;52;47;50;131;6,1;3,3;
2024/01/01;1300 UTC;0;984,6;985,3;984,6;1447,5;30,7;20,5;31;30,5;20,8;19,2;56;49;55;113;7;3,8;
2024/01/01;1400 UTC;0;984,2;984,6;984,2;1349,3;30,5;20,7;30,9;30;21,1;20,2;58;53;56;117;7,8;3;
