REGIAO:;NE
UF:;BA
ESTACAO:;ITABERABA
CODIGO (WMO):;A408
LATITUDE:;-12,52416666
LONGITUDE:;-40,29972221
ALTITUDE:;250,11
DATA DE FUNDACAO:;29/01/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;983,5;983,5;982,5;;28,6;22;29,8;28,6;22,2;22;68;63;68;94;9;4,1;
2024/01/01;0100 UTC;;984,3;984,3;983,5;;27,6;21,7;28,6;27,6;21,9;21,6;71;67;71;92;7,7;2,4;
2024/01/01;0200 UTC;;984,8;984,8;984,3;;26,8;22;27,6;26,8;22,2;21,7;76;71;75;57;5,2;1,7;
2024/01/01;0300 UTC;;984,8;985;984,8;;26,5;21,6;26,8;26,4;21,9;21,6;76;75;75;84;4,8;2,6;
2024/01/01;0400 UTC;;984,6;984,8;984,5;;26,2;22;26,5;26,2;22;21,4;78;74;78;68;4,8;2,6;
2024/01/01;0500 UTC;;984,4;984,7;984,4;;25,8;22,3;26,2;25,8;22,3;22;81;78;81;77;6,4;2,6;
2024/01/01;0600 UTC;;983,9;984,4;983,9;;25,2;22,3;25,8;25,2;22,3;22,2;84;81;84;111;4,5;2,3;
2024/01/01;0700 UTC;;983,9;984;983,8;;24,6;22,5;25,2;24,6;22,5;22,3;88;84;88;89;4,3;1,5;
2024/01/01;0800 UTC;;984,3;984,3;983,9;;24,4;22,5;24,6;24,4;22,5;22,4;89;88;89;108;2,9;,6;
2024/01/01;0900 UTC;;984,6;984,6;984,3;70,1;24,8;22,8;24,8;24,1;22,8;22,4;91;88;88;119;1,8;,8;
2024/01/01;1000 UTC;;985,2;985,2;984,6;448,7;26;23;26,4;24,8;23,2;22,7;88;82;84;76;4,6;2,4;
2024/01/01;1100 UTC;;985,6;985,6;985,2;544,1;27,2;22,5;27,3;25,9;23;22,5;84;76;76;88;5;1,9;
2024/01/01;1200 UTC;;985,5;985,7;985,5;954,7;28,6;21,8;28,6;27,2;22,5;21,6;76;67;67;64;5,3;2,6;
2024/01/01;1300 UTC;;985,1;985,5;985,1;1772,8;30,7;21,3;31,1;28,5;22,1;21;67;57;57;63;5,8;2;
2024/01/01;1400 UTC;;984,4;985,1;984,4;2939,9;32,4;20,8;33,2;30,7;21,8;20,4;57;50;50;86;6,7;2,3;
2024/01/01;1500 UTC;;983,5;984,5;983,5;3091,1;34,7;20,4;35,1;31,4;21,4;20;52;43;43;49;5,8;2,5;
2024/01/01;1600 UTC;;982,1;983,5;982,1;2868,7;35,6;20,8;35,9;33,5;21,1;19,7;47;42;42;99;7,3;2,5;
2024/01/01;1700 UTC;;980,6;982,1;980,6;2392;35;20,4;35,9;33,8;21,1;19,8;46;42;43;118;7,3;3,2;
2024/01/01;1800 UTC;;979,7;980,6;979,7;1845,7;36,7;20,9;36,7;34,4;21,1;20;43;40;40;92;7,7;3,6;
2024/01/01;1900 UTC;;979,4;979,8;979,3;1582,2;35,2;20,6;36,8;34,7;21;20,1;43;40;43;84;8,7;3,9;
2024/01/01;2000 UTC;;979,4;979,4;979,2;1121;33,7;20,8;35,2;33,6;21;20,3;47;42;47;92;8,9;4,6;
2024/01/01;2100 UTC;;980,1;980,1;979,4;161,8;32,2;21,1;33,7;32,2;21,1;20,6;52;47;52;100;9,9;4,7;
2024/01/01;2200 UTC;;981;981;980,1;;30,6;21,9;32,2;30,6;21,9;21,1;60;52;60;96;9,4;4,8;
2024/01/01;2300 UTC;;982,4;982,4;981;;29,4;22,5;30,6;29,4;22,5;21,9;67;60;67;96;8,9;3,9;
2024/01/02;0000 UTC;;983,4;983,4;982,4;;28,2;22,9;29,4;28,2;23;22,5;73;67;73;115;8;4,3;
2024/01/02;0100 UTC;;984,3;984,3;983,4;;27;22,5;28,2;27;22,9;22,5;76;73;76;107;8;3,9;
2024/01/02;0200 UTC;;984,5;984,6;984,3;;26;22,5;27;26;22,5;22,3;81;76;81;111;7,5;2,8;
2024/01/02;0300 UTC;;984;984,5;984;;25,4;22,7;26;25,4;22,7;22,4;85;81;85;131;4,7;1,2;
2024/01/02;0400 UTC;;983,6;984;983,6;;25;22,9;25,4;25;22,9;22,7;88;85;88;130;2,7;1,2;
2024/01/02;0500 UTC;;983,4;983,6;983,3;;24,6;23;25;24,6;23;22,9;91;88;91;105;2,5;,8;
2024/01/02;0600 UTC;;983,2;983,4;983,2;;24,7;23,1;24,8;24,6;23,1;23;91;91;91;117;2,5;1,5;
2024/01/02;0700 UTC;;983,4;983,4;983,2;;24,2;23;24,7;24,2;23,1;22,9;93;91;93;114;4,1;1,9;
2024/01/02;0800 UTC;;984;984;983,4;;24,3;23;24,3;24,1;23;22,9;93;92;92;109;3,7;1,1;
2024/01/02;0900 UTC;;984,9;984,9;984;36,8;24,8;23,1;24,8;24,3;23,2;22,9;92;90;90;68;4,6;1,7;
2024/01/02;1000 UTC;;985,2;985,2;984,9;303,3;26,1;22,8;26,1;24,8;23,1;22,6;90;82;82;74;4,2;2,1;
2024/01/02;1100 UTC;;985,2;985,2;985,1;482,1;26,6;22,4;26,6;26,1;22,8;21,9;82;77;78;62;4,2;1,6;
2024/01/02;1200 UTC;;984,9;985,2;984,9;1249,7;29,3;21,6;29,5;26,6;22,4;21,5;78;63;63;14;4,8;2,7;
2024/01/02;1300 UTC;;984,9;985,1;984,9;827,4;29,5;21,7;29,5;28,1;21,9;21,2;67;63;63;98;5,3;1,9;
2024/01/02;1400 UTC;;984,3;984,9;984,3;1537,8;30,1;21,1;31,5;28,8;22;21;65;56;59;122;5,4;1,7;
2024/01/02;1500 UTC;;983,5;984,3;983,5;2490,7;33,1;20,9;33,3;30,1;21,6;20,6;59;49;49;38;5,6;1,6;
2024/01/02;1600 UTC;;982,3;983,5;982,3;1828;33,3;20,7;33,3;31,6;21,3;20,3;52;48;48;63;5,6;1,6;
2024/01/02;1700 UTC;;980,9;982,3;980,9;1455,7;33,4;20,5;33,7;32,7;21,1;20,2;49;46;47;7;4,3;1;
2024/01/02;1800 UTC;;980;980,9;980;1832,2;34,6;20,4;35,1;32,8;21;20,2;48;43;44;178;5;2,1;
2024/01/02;1900 UTC;;979,6;980,1;979,6;1916,5;34,7;20,1;35,2;33,6;20,6;19,7;45;42;42;115;5,3;1,8;
2024/01/02;2000 UTC;;979,4;979,6;979,3;997,9;34,1;19,6;34,7;33,5;20;19,2;44;42;43;124;5,6;1,9;
2024/01/02;2100 UTC;;979,5;979,5;979,3;175,7;33,1;18,7;34,1;33,1;19,7;18,7;44;42;43;94;5,1;2,8;
2024/01/02;2200 UTC;;980,6;980,6;979,5;1,6;32,1;18,2;33,1;32;19,1;18,2;45;43;44;99;4,6;2,4;
2024/01/02;2300 UTC;;981,8;981,8;980,6;;30,8;19,2;32,2;30,8;19,2;17,1;50;42;50;92;8,6;4,7;
2024/01/03;0000 UTC;;982,8;982,8;981,8;;28,2;22,7;30,8;28,2;22,7;19,4;72;50;72;94;10,7;3,4;
2024/01/03;0100 UTC;;983,9;983,9;982,8;;26,7;22,6;28,2;26,7;22,7;22,6;79;72;79;118;7,1;2,7;
2024/01/03;0200 UTC;;984,1;984,2;983,9;;25,9;22,6;26,7;25,9;22,7;22,6;82;79;82;87;5,4;3,2;
2024/01/03;0300 UTC;;983,8;984,1;983,8;;25,4;22,9;25,9;25,4;22,9;22,5;86;82;86;97;6,7;3,8;
2024/01/03;0400 UTC;;983,7;983,8;983,6;;25,3;23,1;25,4;25,1;23,1;22,9;88;86;88;97;6,5;3;
2024/01/03;0500 UTC;;983,6;983,7;983,5;;25,4;23;25,4;25,2;23,2;22,9;88;86;86;65;6,5;3;
2024/01/03;0600 UTC;;983,7;983,7;983,5;;25,3;23,1;25,5;25,2;23,1;22,9;88;86;88;60;6,3;2,7;
2024/01/03;0700 UTC;;983,8;983,8;983,5;;25,2;23;25,3;25,2;23,1;23;88;87;88;78;5,1;2,2;
2024/01/03;0800 UTC;;984,1;984,1;983,8;;25;23;25,3;25;23,1;23;89;87;89;94;4,9;2,2;
2024/01/03;0900 UTC;;984,9;984,9;984,1;55;25,4;23,2;25,4;24,9;23,2;23;89;88;88;79;3,6;1,4;
2024/01/03;1000 UTC;;985,3;985,3;984,9;732;27,7;23,3;27,7;25,4;23,7;23,2;88;77;77;77;4,2;2;
2024/01/03;1100 UTC;;985,8;985,8;985,3;948,1;28,2;23;29,1;27,3;23,7;22,7;78;71;74;66;6;2,6;
2024/01/03;1200 UTC;;985,7;985,9;985,7;1633,4;30,6;22,7;30,8;28,1;23,4;22,6;74;63;63;93;5,4;2,7;
2024/01/03;1300 UTC;;985,5;985,7;985,5;2001,1;31,7;22,6;32,2;30,2;22,9;21,3;64;55;59;71;6,9;3,6;
2024/01/03;1400 UTC;;985,1;985,5;985,1;1225,7;31,1;22,5;32,3;30,7;22,8;21,9;61;56;61;81;6,9;2,8;
2024/01/03;1500 UTC;;984,3;985,1;984,3;1100,7;32,1;21,8;32,4;31,1;22,6;21,8;60;55;55;90;6,2;1,9;
2024/01/03;1600 UTC;;983;984,3;983;1957,5;34;21,7;34,5;32;22,4;21,5;55;48;49;33;5,5;2,2;
2024/01/03;1700 UTC;;982;983;982;947,4;33,6;21,6;34,1;32,9;22;21,4;52;49;50;57;4,7;1,5;
2024/01/03;1800 UTC;;980,7;982;980,7;1985,4;34,9;21,9;35,4;33,5;22,4;21,4;50;46;47;121;4,9;1,4;
2024/01/03;1900 UTC;;980,4;980,7;980,4;1397,4;35;21,5;35,8;34,2;22;21,2;48;45;46;86;6,6;1,8;
2024/01/03;2000 UTC;;980,4;980,5;980,3;786,3;33,7;21,8;35,6;33,7;22,1;21,4;50;45;50;65;10,1;4;
2024/01/03;2100 UTC;;981,6;981,6;980,4;95,1;32,7;22,1;33,7;32,7;22,1;21,7;54;50;54;81;5,9;2,2;
2024/01/03;2200 UTC;;983,2;983,2;981,6;3,3;25,3;24,7;32,8;25,2;24,8;22,3;96;54;96;23;12,6;2,1;
