REGIAO:;NE
UF:;BA
ESTACAO:;BARRA
CODIGO (WMO):;A429
LATITUDE:;-11,08472221
LONGITUDE:;-43,13888888
ALTITUDE:;407,5
DATA DE FUNDACAO:;12/05/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;,6;967,5;968,2;967,5;;22,7;21,8;22,7;21,8;21,8;21,3;97;95;95;;5,2;2,5;
2024/01/01;0100 UTC;,4;967,4;967,5;967,2;;22,9;22,1;22,9;22,7;22,1;21,7;95;94;95;;5,2;,7;
2024/01/01;0200 UTC;,2;967,8;967,8;967,4;0;22,4;22;22,9;22,4;22,3;22;98;95;98;;3,8;2,1;
2024/01/01;0300 UTC;0;966,9;967,8;966,9;,1;22,2;21,8;22,4;22,2;22,1;21,8;98;97;98;;3,8;1,1;
2024/01/01;0400 UTC;0;966;966,9;966;;22,4;21,8;22,4;22,2;21,9;21,7;98;96;96;;2,7;0;
2024/01/01;0500 UTC;0;965,7;966;965,7;;22,5;22,1;22,7;22,4;22,2;21,8;98;96;98;;3,3;1,7;
2024/01/01;0600 UTC;0;965,5;965,7;965,5;;22,3;22;22,5;22,2;22,1;22;99;98;99;;3,6;1,6;
2024/01/01;0700 UTC;0;965,5;965,7;965,5;;22,1;21,9;22,3;22,1;22,1;21,9;99;98;98;;3,9;1,2;
2024/01/01;0800 UTC;0;966,1;966,1;965,5;;22,1;21,8;22,2;22,1;22;21,8;98;98;98;;3,2;,1;
2024/01/01;0900 UTC;0;966,5;966,5;966,1;45,2;22,4;22,1;22,4;22,1;22,1;21,8;98;98;98;;2,1;,8;
2024/01/01;1000 UTC;0;967,1;967,1;966,5;304,5;23,1;22,3;23,1;22,4;22,4;22;98;96;96;;3,3;1,8;
2024/01/01;1100 UTC;0;967,5;967,5;967,1;575,9;24,2;22,6;24,2;23;22,7;22,2;96;90;91;;3,3;,8;
2024/01/01;1200 UTC;0;967,6;967,7;967,5;1207,6;25,8;22,9;25,9;24,2;23,3;22,5;91;84;84;;2,3;,8;
2024/01/01;1300 UTC;0;967,7;967,7;967,6;1867,3;27,5;23,4;27,5;25,8;23,5;22,3;86;76;78;;2,5;,6;
2024/01/01;1400 UTC;0;967,4;967,8;967,4;1766,3;28,3;22,7;28,4;26,6;23,6;21,9;80;70;72;;2,2;,8;
2024/01/01;1500 UTC;0;965,9;967,5;965,9;2472,2;29,4;22,5;29,7;27,8;23,5;21,8;74;65;67;;3;1,1;
2024/01/01;1600 UTC;0;964,7;965,9;964,7;3205,1;30,8;23,1;30,8;29,1;24,1;21,8;69;60;64;;3,2;1,5;
2024/01/01;1700 UTC;0;963,4;964,7;963,4;3348,6;32,1;23;32,4;30,8;23,8;22;65;55;59;;3,9;2,3;
2024/01/01;1800 UTC;0;962,4;963,4;962,4;3207,2;33,3;21,4;33,4;32;23,3;20,6;58;48;50;;3,6;1,1;
2024/01/01;1900 UTC;0;962,2;962,4;961,9;2121;31,8;22,6;33,8;31,7;22,8;20,6;58;47;58;;7,7;4,2;
2024/01/01;2000 UTC;0;962,2;962,2;962,1;745,9;31,6;21,6;32,3;31,6;23;21,6;59;54;56;;7,7;2,6;
2024/01/01;2100 UTC;0;963;963;962,2;139,3;29,9;23,2;31,6;29,9;23,2;21,5;68;56;68;;5,9;2,8;
2024/01/01;2200 UTC;0;963,8;963,8;963;4,2;28,9;23;29,8;28,8;23,3;23;71;68;71;;5,7;1,3;
2024/01/01;2300 UTC;0;964,4;964,4;963,8;;28,4;22,5;28,9;28,4;23,2;22,4;72;69;71;;3,5;1,5;
2024/01/02;0000 UTC;0;964,9;964,9;964,4;;27,5;23,1;28,4;27,5;23,2;22,5;77;71;77;;3,1;1;
2024/01/02;0100 UTC;0;965,7;965,7;964,9;;26,5;22,7;27,5;26,5;23,3;22,7;80;77;80;;3,1;1,7;
2024/01/02;0200 UTC;0;965,8;965,8;965,7;;26,4;22,5;26,5;26,2;22,9;22,4;82;79;79;;3,1;1,4;
2024/01/02;0300 UTC;,2;965,3;965,9;965,3;;26;23,1;26,5;25,7;23,1;22,4;85;78;84;;2,6;1,3;
2024/01/02;0400 UTC;0;964,6;965,3;964,6;2,1;25,8;22,7;26;25,8;23,3;22,5;85;82;83;;3,8;1,9;
