REGIAO:;NE
UF:;PI
ESTACAO:;CAMPO MAIOR
CODIGO (WMO):;A376
LATITUDE:;-4,86416666
LONGITUDE:;-42,14555555
ALTITUDE:;125
DATA DE FUNDACAO:;23/11/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;999,6;999,6;998,4;;24,5;21,6;24,7;24,1;21,7;20,8;85;79;84;10;5,7;1,5;
2024/01/01;0100 UTC;0;999,6;999,6;999,4;;23,9;21,6;24,5;23,8;21,6;20,9;87;83;87;110;3,6;0;
2024/01/01;0200 UTC;0;999,2;999,6;999,1;;24,2;21,6;24,2;23,8;21,7;21,4;87;85;85;228;0;0;
2024/01/01;0300 UTC;0;999,8;999,8;999,2;;24,3;21,5;24,3;24,1;21,7;21,4;86;84;85;310;0;0;
2024/01/01;0400 UTC;0;998,9;999,8;998,9;;23,7;21,6;24,3;23,4;21,7;21,2;89;84;88;49;0;0;
2024/01/01;0500 UTC;0;998,5;998,9;998,4;;23,8;21,6;24,1;23,7;21,8;21,5;88;86;87;29;0;0;
2024/01/01;0600 UTC;0;997,9;998,5;997,9;;23,7;21,1;23,9;23,7;21,6;21,1;87;85;85;332;3,5;,5;
2024/01/01;0700 UTC;0;997,5;997,9;997,4;;23,7;21;23,7;23,5;21,2;20,8;86;84;85;154;3,5;0;
2024/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1000 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1100 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1200 UTC;0;999,7;999,7;999,5;2953,1;29,5;21,4;29,6;26,9;21,8;20,9;71;62;62;200;;,2;
2024/01/01;1300 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1400 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1500 UTC;0;998,4;999,4;998,4;5207,2;30,4;20,7;30,8;29,2;21,6;20,6;63;56;56;36;6,5;2,4;
2024/01/01;1600 UTC;0;997,3;998,4;997,3;3043,7;31,8;20;32;30,2;20,9;19,8;57;50;50;43;6,1;0;
2024/01/01;1700 UTC;0;996,1;997,3;996,1;3915,6;32,1;19,2;33,1;31,4;20,6;18,8;51;45;46;333;6,7;2,8;
2024/01/01;1800 UTC;0;994,7;996,1;994,7;2210,2;32,5;18,9;33,4;31,9;19,9;18,1;47;43;45;8;6,2;3,5;
2024/01/01;1900 UTC;0;994,3;994,7;994,3;1397,8;32,8;18,7;33,2;32,3;19,6;18,4;45;43;43;21;6;0;
2024/01/01;2000 UTC;0;994,9;994,9;994,3;987,1;30,8;20,4;33,1;30,7;21,5;18,3;55;42;54;42;8,5;4,4;
2024/01/01;2100 UTC;0;995,3;995,4;994,8;281,1;29;20,9;30,8;29;21,3;19,7;62;52;62;20;7,4;4;
2024/01/01;2200 UTC;0;996,5;996,5;995,3;;27,3;20,5;29;27,3;22;20,5;71;62;66;39;7;2,4;
2024/01/01;2300 UTC;0;997,6;997,6;996,5;;26,5;20,9;27,4;26,5;21,3;20,4;72;66;72;32;6,1;0;
2024/01/02;0000 UTC;0;998,2;998,2;997,6;;26,5;20,3;26,7;26,4;21,2;20,2;73;68;68;18;0;0;
2024/01/02;0100 UTC;0;997,9;998,3;997,9;;25,9;20,9;26,5;25,9;21;20,3;74;69;74;7;0;0;
2024/01/02;0200 UTC;0;998;998,1;997,9;;25,3;21,3;25,9;25,3;21,4;20,9;78;74;78;347;0;0;
2024/01/02;0300 UTC;0;997,4;998;997,4;;25;21,3;25,4;24,9;21,4;21,2;80;78;80;340;0;0;
2024/01/02;0400 UTC;0;996,3;997,4;996,3;;24,6;21,4;25;24,5;21,5;21,3;83;80;82;359;0;0;
2024/01/02;0500 UTC;0;996,5;996,5;996,3;;24,6;21,6;24,6;24,4;21,6;21,4;84;82;83;96;0;0;
2024/01/02;0600 UTC;0;996,4;996,5;996,3;;24,6;21,7;24,8;24,6;21,8;21,4;84;82;84;86;0;0;
2024/01/02;0700 UTC;0;996,5;996,5;996,3;;24,5;22,2;24,7;24,4;22,2;21,7;87;84;87;137;0;0;
2024/01/02;0800 UTC;0;997;997;996,5;;24,7;22,1;24,7;24,4;22,2;22;87;85;85;169;0;0;
2024/01/02;0900 UTC;0;997,3;997,3;997;17,7;24,8;22;24,8;24,6;22,1;21,9;85;84;84;40;0;0;
2024/01/02;1000 UTC;0;997,9;997,9;997,3;284,9;25,1;21,9;25,1;24,7;22;21,7;85;82;82;298;0;0;
2024/01/02;1100 UTC;,2;998,2;998,2;997,9;1180,8;26,5;21,7;27;25,1;22,5;21,7;82;74;75;106;0;0;
2024/01/02;1200 UTC;0;998,3;998,3;998,1;1921,2;28,6;20,2;28,6;26,5;22,1;20,1;75;60;61;8;0;0;
2024/01/02;1300 UTC;0;998;998,4;998;3829,9;30,5;19,3;31,2;28,4;21,3;19,2;63;51;51;274;0;0;
2024/01/02;1400 UTC;0;997,9;998,1;997,8;4188,4;32,2;17,3;32,7;30,2;19,5;16,9;51;40;41;13;4,8;1,3;
2024/01/02;1500 UTC;0;997,2;997,9;997,2;2792;32,5;18,5;33,3;32,1;18,6;16,5;44;37;44;327;5,9;2,9;
2024/01/02;1600 UTC;0;996,2;997,2;996,2;1826,1;32,3;18,2;32,8;31,7;18,8;17,9;45;42;43;346;6,6;1,3;
2024/01/02;1700 UTC;0;994,8;996,2;994,8;2514,9;33,6;18;33,8;32;18,5;17,6;43;39;40;320;6,1;3,3;
2024/01/02;1800 UTC;0;993,7;994,8;993,7;2742,6;33,8;17;34,4;32,9;18;16,6;40;36;37;314;5,9;,1;
2024/01/02;1900 UTC;0;993,5;993,7;993,3;1591;33,9;16,9;34,3;33,2;17,2;16,4;38;35;36;352;4,7;1,6;
2024/01/02;2000 UTC;0;994,3;994,3;993,5;1010,9;33,5;16,7;34,4;33,5;17,1;16,3;37;35;37;333;5,1;0;
2024/01/02;2100 UTC;0;995;995;994,3;84,1;29,7;20,7;33,5;29,7;20,8;16,7;58;37;58;76;7;1,4;
2024/01/02;2200 UTC;0;995,9;995,9;995;;28,9;20,9;29,8;28,9;21,1;20,5;62;58;62;166;4,8;0;
2024/01/02;2300 UTC;0;996,5;996,5;995,9;;29;21;29;28,6;21,4;20,9;65;62;62;247;0;0;
2024/01/03;0000 UTC;0;998,2;998,2;996,5;;27;21,5;29,3;27;21,6;21;72;62;72;5;8,8;4,5;
2024/01/03;0100 UTC;0;998,3;998,4;998,2;,8;25,2;22,2;27,1;25,2;22,2;21,3;84;72;84;358;8,8;2,6;
2024/01/03;0200 UTC;11,4;999,1;999,2;998,3;;23,9;;25,3;23,7;23;22,2;95;84;;118;5,3;1,3;
2024/01/03;0300 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;0400 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;0500 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;0600 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;0700 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;0800 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;0900 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;1000 UTC;0;999,7;999,8;999,7;1719;27,4;23;27,6;26,5;23,5;22,6;82;76;77;136;;0;
2024/01/03;1100 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;1200 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;1300 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;1400 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;1500 UTC;0;998,8;999,7;998,8;2670;28,7;22,4;29,1;27,4;23,8;22,1;77;68;69;155;3,4;0;
2024/01/03;1600 UTC;0;997,9;998,8;997,9;1918,7;29,7;22;30,3;28,5;22,9;21,9;70;62;63;161;0;0;
2024/01/03;1700 UTC;0;996,5;997,9;996,5;2469,7;30,9;21,8;31,8;29,4;22,3;21,4;65;56;59;28;0;0;
2024/01/03;1800 UTC;0;995,2;996,5;995,2;1898,1;31,1;22,2;31,2;30,3;22,3;21,4;61;57;59;41;0;0;
2024/01/03;1900 UTC;0;994,9;995,2;994,9;2375;31,6;21,3;32,8;30,7;22,2;21;60;53;54;26;0;0;
2024/01/03;2000 UTC;0;994,9;995;994,9;1159,8;31,4;21,4;32,1;31,4;21,9;21;57;53;55;43;4,3;0;
2024/01/03;2100 UTC;0;995,6;995,6;994,9;183,8;31;21,7;31,4;31;21,7;21,1;58;55;58;34;0;0;
2024/01/03;2200 UTC;0;996,3;996,3;995,6;;30,3;22,7;31;30,2;23,3;21,4;66;57;64;289;0;0;
2024/01/03;2300 UTC;0;996,8;996,8;996,3;;29,3;23,4;30,3;29,3;23,4;22,6;71;64;71;150;0;0;
2024/01/04;0000 UTC;0;997,7;997,7;996,8;;28,6;24;29,3;28,6;24,1;23,6;77;71;76;173;0;0;
2024/01/04;0100 UTC;0;998,5;998,6;997,7;;28,4;24,3;28,9;28,3;24,7;23,9;81;75;78;356;3,9;2,3;
2024/01/04;0200 UTC;0;998,6;998,6;998,4;;27,2;23,4;28,9;27,2;24,3;22,8;80;70;80;297;6,2;3,9;
2024/01/04;0300 UTC;0;998,1;998,6;998,1;;26,4;23,5;27,4;26,4;23,6;23,3;84;79;84;265;6,2;0;
2024/01/04;0400 UTC;0;997,4;998,1;997,4;;26,1;23,6;26,4;26,1;23,7;23,5;87;84;86;250;0;0;
2024/01/04;0500 UTC;0;996,9;997,4;996,9;;25,9;23,5;26,1;25,9;23,6;23,5;87;86;87;291;0;0;
2024/01/04;0600 UTC;0;996,9;997;996,7;;25,7;23,6;25,9;25,7;23,7;23,5;89;87;89;238;0;0;
2024/01/04;0700 UTC;0;996,8;997;996,8;;25,5;23,2;25,7;25,5;23,7;23,2;89;87;87;239;0;0;
2024/01/04;0800 UTC;0;996,9;996,9;996,7;;25,5;23,1;25,6;25,5;23,2;23;87;86;87;249;0;0;
2024/01/04;0900 UTC;0;997,4;997,4;996,9;11,8;25,5;23,1;25,6;25,5;23,2;23,1;87;86;87;242;0;0;
2024/01/04;1000 UTC;0;998;998;997,4;467,6;26,2;23;26,2;25,5;23,3;22,9;87;82;82;230;0;0;
2024/01/04;1100 UTC;0;998,4;998,4;998;1323,8;28,1;22,7;28,1;26,2;23,4;22,5;82;73;73;126;0;0;
2024/01/04;1200 UTC;0;998,6;998,6;998,4;2665,8;30,1;21,4;30,1;27,8;23,1;20,9;73;60;60;101;7,1;3,8;
2024/01/04;1300 UTC;0;998,4;998,6;998,3;2485,6;30,6;19,5;31;29,3;21,4;19,5;62;51;52;110;8,5;3,5;
2024/01/04;1400 UTC;0;997,8;998,4;997,8;3487,6;31,4;19,6;31,6;30,6;20,3;19,1;54;49;50;123;6,4;2,8;
2024/01/04;1500 UTC;0;997,1;997,8;997,1;3365,5;32,4;19,4;32,5;31,2;20,2;19;51;46;46;129;7,4;,3;
2024/01/04;1600 UTC;0;996,2;997,1;996,2;2861,4;33,4;19,2;33,8;32,1;20,3;18,7;48;42;43;72;5,2;0;
2024/01/04;1700 UTC;0;994,8;996,2;994,8;3801,3;34,4;18,6;34,6;33;19,4;18,1;45;38;39;54;4,4;0;
2024/01/04;1800 UTC;0;993,9;994,8;993,9;2905,2;34,3;17,9;35,7;34;18,8;17,5;40;35;38;114;4,8;3;
2024/01/04;1900 UTC;0;993,6;993,9;993,5;1675,8;35,4;17,5;35,5;34,2;18,1;16,8;38;34;35;87;5,5;0;
2024/01/04;2000 UTC;0;993,6;993,7;993,5;648,1;34,7;17;35,4;34,5;17,5;16,5;36;34;35;96;3,9;0;
2024/01/04;2100 UTC;0;993,7;993,7;993,5;326,2;33,9;17,7;34,8;33,9;17,8;16,6;39;34;38;344;2,4;0;
2024/01/04;2200 UTC;0;994,3;994,3;993,7;1,5;31,9;20,3;33,9;31,9;20,3;17,9;51;38;51;275;0;0;
2024/01/04;2300 UTC;0;995,2;995,2;994,3;;30,1;21,6;31,9;30,1;21,7;20,4;61;51;61;242;3,9;0;
2024/01/05;0000 UTC;0;996,3;996,3;995,2;;29,9;21,7;30,1;29,7;21,9;21,6;63;61;61;226;0;0;
2024/01/05;0100 UTC;0;996,9;997;996,3;;30,2;21,1;30,2;29,3;21,9;20,9;65;58;58;338;7,8;3;
2024/01/05;0200 UTC;0;997,1;997,3;996,8;;28,7;22,1;30,5;28,7;22,2;20,7;68;56;68;341;7,8;,5;
2024/01/05;0300 UTC;0;996,9;997,2;996,9;;27,7;21,9;28,7;27,7;22,3;21,8;71;68;71;343;5,4;2,7;
2024/01/05;0400 UTC;0;996,5;996,9;996,5;;27;21,9;27,7;27;22;21,9;74;71;74;320;4,5;1,5;
2024/01/05;0500 UTC;0;996,2;996,5;996,2;;26,5;22,1;27;26,5;22,2;21,9;77;74;77;339;2,9;0;
2024/01/05;0600 UTC;0;995,9;996,2;995,8;;25,9;22,1;26,5;25,9;22,2;22;80;77;80;349;0;0;
2024/01/05;0700 UTC;;;;;;;;;;;;;;;;;;
2024/01/05;0800 UTC;;;;;;;;;;;;;;;;;;
2024/01/05;0900 UTC;;;;;;;;;;;;;;;;;;
2024/01/05;1000 UTC;;;;;;;;;;;;;;;;;;
2024/01/05;1100 UTC;0;996,9;;;1159,4;31,2;20,2;;;;;;;52;106;;3,2;
2024/01/05;1200 UTC;;;;;;;;;;;;;;;;;;
2024/01/05;1300 UTC;;;;;;;;;;;;;;;;;;
2024/01/05;1400 UTC;0;996,2;996,8;996,2;3895,3;32,9;19,7;34,1;31,2;20,9;19,7;52;44;46;151;5,4;0;
2024/01/05;1500 UTC;0;995,4;996,2;995,4;3218,6;33,3;19,3;34,1;32,2;20,9;19;48;42;44;8;3;,5;
2024/01/05;1600 UTC;0;994,5;995,4;994,5;2027,8;33,9;18,5;34,8;33,1;19,7;18,4;45;39;40;23;3,8;0;
2024/01/05;1700 UTC;0;993,6;994,5;993,6;3403,2;35,3;16,7;36,4;33,9;18,9;16,5;40;33;33;202;5,2;,3;
2024/01/05;1800 UTC;0;992,8;993,6;992,8;2465,3;35,6;17,6;37,3;34,9;18,2;16,2;36;31;35;191;6;2,7;
2024/01/05;1900 UTC;0;992,3;992,8;992,3;1831,8;35,8;18;36,2;35,3;18,2;17;36;33;35;185;5,7;2;
2024/01/05;2000 UTC;0;992,1;992,3;992,1;991,6;34,8;18;36;34,7;18,4;16,8;38;33;37;168;4,9;2,3;
2024/01/05;2100 UTC;0;992,4;992,4;992,1;137,1;33,4;19;34,8;33,4;19;17,9;43;37;43;186;3,7;1,9;
2024/01/05;2200 UTC;0;993;993;992,4;;31,8;20,7;33,4;31,8;20,7;19;52;43;52;214;3,9;1,5;
2024/01/05;2300 UTC;0;994,2;994,2;993;;30,6;21,1;31,8;30,6;21,2;20,7;57;52;57;226;2,5;0;
2024/01/06;0000 UTC;0;995,1;995,1;994,2;;29,8;21,9;30,8;29,7;22;21,2;63;57;63;314;2,3;0;
2024/01/06;0100 UTC;0;995,6;995,6;995,1;;29,2;21,7;29,9;29,2;21,9;21,6;64;62;64;241;0;0;
2024/01/06;0200 UTC;0;995,9;995,9;995,6;;29;22,1;29,2;29;22,1;21,7;66;64;66;242;0;0;
2024/01/06;0300 UTC;0;996,2;996,3;995,8;;29,4;21,6;29,4;28,9;22,4;21,6;67;63;63;330;5,4;,6;
