REGIAO:;N
UF:;AM
ESTACAO:;COARI
CODIGO (WMO):;A117
LATITUDE:;-4,09749999
LONGITUDE:;-63,14527777
ALTITUDE:;33,84
DATA DE FUNDACAO:;12/04/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;1006,4;1006,4;1005,6;0;26;23,4;26,8;26;24,1;23,4;86;85;86;69;5,4;,7;
2024/01/01;0100 UTC;;1007,1;1007,1;1006,2;0;26,1;23,8;26,5;25,8;24,2;23,1;87;85;87;132;1,9;1,1;
2024/01/01;0200 UTC;;1007,5;1007,5;1007;0;26,2;23,6;26,3;25,3;23,8;23,1;88;86;86;195;2,2;,6;
2024/01/01;0300 UTC;;1007,3;1007,7;1007,3;0;26,1;23,8;26,2;26;23,8;23,6;87;86;87;175;1,8;,4;
2024/01/01;0400 UTC;;1007,1;1007,4;1007,1;0;25,9;23,9;26,1;25,7;24;23,7;89;87;89;190;2,6;1,3;
2024/01/01;0500 UTC;;1006,9;1007,2;1006,9;0;25,7;23,9;25,9;25,7;23,9;23,8;90;89;90;149;2,6;1;
2024/01/01;0600 UTC;;1006;1006,9;1006;0;25,8;23,8;25,8;25,7;23,9;23,7;90;89;89;184;1,8;,7;
2024/01/01;0700 UTC;;1005,6;1006;1005,6;0;25,5;23,7;25,8;25,5;23,8;23,6;89;89;89;202;2,4;,8;
2024/01/01;0800 UTC;;1005,5;1005,6;1005,4;0;25,3;23,5;25,5;25,2;23,7;23,5;90;89;90;162;2,3;1;
2024/01/01;0900 UTC;;1005,3;1005,5;1005,3;0;25,2;23,5;25,3;25,2;23,6;23,5;91;90;91;209;2,4;1,1;
2024/01/01;1000 UTC;;1006,2;1006,2;1005,3;0;25,1;23,5;25,2;25,1;23,5;23,5;91;91;91;145;2,4;1,1;
2024/01/01;1100 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1200 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1300 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1400 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1500 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1600 UTC;;;;;;;;;;;;;;;;;;
