REGIAO:;N
UF:;PA
ESTACAO:;XINGUARA
CODIGO (WMO):;A247
LATITUDE:;-7,11055555
LONGITUDE:;-49,9261111
ALTITUDE:;245
DATA DE FUNDACAO:;11/09/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;985,1;985,1;984;;26,3;24,5;26,8;26,2;24,8;24,2;91;86;90;;;;
2024/01/01;0100 UTC;0;985,7;985,7;985,1;;25,5;25,1;26,3;25,1;25,2;24,5;98;90;97;;;;
2024/01/01;0200 UTC;0;986,1;986,1;985,7;;24;22,1;25,6;24;25,1;22,1;97;86;89;;;;
2024/01/01;0300 UTC;0;986,3;986,7;986,1;;23,6;22,3;24;23,4;22,4;21,6;93;89;92;;;;
2024/01/01;0400 UTC;0;985,6;986,3;985,6;;23,9;22,4;23,9;23,4;22,4;22,2;94;91;92;;;;
2024/01/01;0500 UTC;0;984,9;985,6;984,7;;23,4;22,8;23,9;23,4;22,9;22,4;97;91;96;;;;
2024/01/01;0600 UTC;0;984,3;984,9;984,2;;23,1;22,5;23,7;23,1;22,9;22,4;97;94;96;;;;
2024/01/01;0700 UTC;0;984,1;984,5;984,1;;23,1;22,9;23,5;23;23;22,5;99;97;99;;;;
2024/01/01;0800 UTC;0;984,2;984,2;984,1;;23;22,8;23,2;23;22,9;22,7;99;97;98;;;;
2024/01/01;0900 UTC;0;984,4;984,5;984,2;;23;22,6;23;22,9;22,8;22,6;99;98;98;;;;
2024/01/01;1000 UTC;0;984,8;984,8;984,4;169;23,6;23;23,6;22,8;23;22,6;99;96;96;;;;
2024/01/01;1100 UTC;0;984,9;985;984,8;1139,2;25,8;22,7;26;23,6;23,3;22,7;96;83;83;;;;
2024/01/01;1200 UTC;0;985,5;985,5;984,9;1433,6;27,3;23,5;27,3;25,8;23,7;22,9;83;80;80;;;;
2024/01/01;1300 UTC;0;985,7;985,7;985,4;1989,8;28,8;23,8;28,8;27,3;24,4;23,5;80;74;74;;;;
2024/01/01;1400 UTC;0;985,5;985,7;985,5;2691,5;30,8;23,4;30,8;28,7;24,1;22,6;75;64;65;;;;
2024/01/01;1500 UTC;0;984,9;985,5;984,8;3422,8;31,1;22,9;31,7;30,1;24;22,6;66;60;62;;;;
2024/01/01;1600 UTC;0;983,7;984,9;983,7;3112,5;32,7;23,5;32,7;30,9;24,7;22,8;65;58;59;;;;
2024/01/01;1700 UTC;0;982,1;983,7;982,1;2610,5;32,6;24,5;32,9;31,5;24,7;22,5;65;56;62;;;;
2024/01/01;1800 UTC;0;980,8;982,1;980,8;2490,5;32;23,3;33,4;31,6;24,2;23,1;65;56;60;;;;
2024/01/01;1900 UTC;0;980,1;980,8;980,1;2078,2;32,8;23,6;33,9;31,9;24,3;22,9;62;53;59;;;;
2024/01/01;2000 UTC;0;980,2;980,2;980;1028,9;31,6;23,9;33,3;31,6;24,6;23;66;55;63;;;;
2024/01/01;2100 UTC;0;980,7;980,9;980,2;272,4;29,1;23,9;31,7;29,1;24,8;23,3;74;62;73;;;;
2024/01/01;2200 UTC;0;981,6;981,6;980,6;32;28,1;23,4;29,1;28,1;24;23,2;77;73;76;;;;
2024/01/01;2300 UTC;0;982,9;982,9;981,5;;27;24,2;28,6;26,9;24,5;23,3;86;74;85;;;;
2024/01/02;0000 UTC;0;983,7;983,7;982,9;;26,2;24,5;27,2;26,2;25;24,1;92;84;90;;;;
2024/01/02;0100 UTC;0;984,3;984,3;983,6;;26,3;23,8;26,5;26,2;25;23,8;92;86;86;;;;
2024/01/02;0200 UTC;0;984,7;984,7;984,3;;26,3;23,9;26,4;26;24,2;23,7;89;85;87;;;;
2024/01/02;0300 UTC;0;984,2;984,8;984,2;;25,9;24;26,4;25,7;24,4;23,8;92;86;89;;;;
2024/01/02;0400 UTC;,4;983,6;984,2;983,6;;24,8;24,5;26;24,8;24,8;24;98;89;98;;;;
2024/01/02;0500 UTC;,6;983,2;983,6;983;;25;24,2;25,1;24,7;24,6;24,1;99;95;95;;;;
2024/01/02;0600 UTC;18,4;982,8;983,3;982,8;;24,2;24,2;25;24,2;24,4;24,1;100;95;100;;;;
2024/01/02;0700 UTC;1,2;982,9;982,9;982,7;;23,5;23,5;24,2;23,5;24,2;23,5;100;100;100;;;;
2024/01/02;0800 UTC;1,4;983,3;983,3;982,9;;23,2;23,2;23,5;23,2;23,4;23,2;100;99;100;;;;
2024/01/02;0900 UTC;6,2;984,1;984,1;983,3;;23;23;23,3;22,9;23,3;22,9;100;99;100;;;;
