REGIAO:;N
UF:;TO
ESTACAO:;GURUPI
CODIGO (WMO):;A019
LATITUDE:;-11,74499999
LONGITUDE:;-49,05166666
ALTITUDE:;274
DATA DE FUNDACAO:;20/12/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;980,6;980,6;979,5;;25,1;24;25,5;25;24,2;23,8;94;92;94;245;0;0;
2024/01/01;0100 UTC;0;981;981;980,6;;25;23,9;25,3;25;24,2;23,9;94;93;94;264;1,5;,1;
2024/01/01;0200 UTC;0;981,2;981,3;981;;24,6;23,5;25,5;24,6;24,1;23,5;94;90;93;230;1,5;,6;
2024/01/01;0300 UTC;0;980,9;981,2;980,9;;24,5;23,5;24,6;24,4;23,6;23,4;94;93;94;73;1;0;
2024/01/01;0400 UTC;0;980;980,9;980;;24,5;23,7;24,6;24,4;23,7;23,5;95;94;95;97;1,2;0;
2024/01/01;0500 UTC;0;979,6;980;979,6;;24,7;23,8;24,7;24,5;23,8;23,6;95;95;95;37;1,3;,3;
2024/01/01;0600 UTC;0;979,2;979,6;979,1;;24,6;23,4;24,8;24,4;23,7;23,4;95;92;93;55;1,6;0;
2024/01/01;0700 UTC;0;978,9;979,2;978,8;;24,6;23,3;24,7;24,3;23,5;23,3;94;92;92;339;2,3;,9;
2024/01/01;0800 UTC;0;979,1;979,2;978,9;;24,7;23;24,8;24,6;23,4;23;93;90;91;343;3,1;1;
2024/01/01;0900 UTC;0;979,5;979,5;979,1;24,1;24,5;23,2;24,7;24,4;23,2;23;92;91;92;321;3,3;,5;
2024/01/01;1000 UTC;0;980,3;980,3;979,5;426,5;25,2;23;25,2;24,5;23,3;22,9;92;87;88;341;4,3;1,9;
2024/01/01;1100 UTC;0;981;981;980,3;952,9;26,1;23,2;26,4;25,2;23,7;22,8;88;83;84;328;4,9;2,1;
2024/01/01;1200 UTC;0;981,4;981,5;981;935,4;26,6;23,6;26,7;26,1;23,6;23,1;85;82;83;336;4,4;1,9;
2024/01/01;1300 UTC;0;981,3;981,5;981,3;2510;29,6;23,9;29,6;26,6;24,7;23,3;83;71;71;358;4;2;
2024/01/01;1400 UTC;0;980,3;981,3;980,3;3029,8;30,7;24,3;30,7;28,7;24,8;23;76;65;69;329;4,4;1,5;
2024/01/01;1500 UTC;0;979,2;980,3;979,2;3172,3;31,5;23,2;31,8;30,3;24,9;22,1;70;59;62;289;5,1;1,9;
2024/01/01;1600 UTC;0;978,1;979,2;978,1;2547,3;31,2;24,1;31,8;30,4;24,4;22,7;68;59;66;282;6,8;2,9;
2024/01/01;1700 UTC;2;977,1;978,1;977,1;1645,7;29,8;25;31,7;27,9;26,4;23,1;85;63;76;181;5,4;2;
2024/01/01;1800 UTC;0;976,3;977,1;976,3;2078,3;29,4;23,8;31,6;29,4;25,4;23,8;76;66;72;228;7,5;3,4;
2024/01/01;1900 UTC;2;978,1;978,1;976,2;426,2;23,8;22,4;29,4;23,8;24;21,9;92;70;92;238;7,5;3,4;
2024/01/01;2000 UTC;27,6;978,2;978,8;978,1;21,3;23,2;22,5;23,8;22,9;22,6;22,2;96;92;96;144;7,4;2;
2024/01/01;2100 UTC;4,2;978,6;978,7;978,2;5,9;23,5;22,7;23,5;23,2;22,7;22,5;96;96;96;142;3,4;,8;
2024/01/01;2200 UTC;2;978,8;978,8;978,5;;23,3;22,5;23,5;23,2;22,8;22,5;96;95;95;99;2,3;,9;
2024/01/01;2300 UTC;,4;979,7;979,7;978,8;;23,3;22,6;23,4;23,2;22,6;22,5;96;95;96;73;2,4;,5;
2024/01/02;0000 UTC;,2;980,4;980,4;979,7;;23,2;22,5;23,3;23,2;22,6;22,5;96;95;96;87;3,6;1,5;
2024/01/02;0100 UTC;0;980,9;981;980,4;;23,2;22,4;23,3;23,1;22,5;22,4;96;95;95;131;3,6;,6;
2024/01/02;0200 UTC;0;981;981,2;980,9;;23,1;22,4;23,2;23,1;22,5;22,3;96;95;96;108;1,4;0;
2024/01/02;0300 UTC;0;980,3;981;980,3;;23;22,3;23,1;23;22,4;22,2;96;96;96;348;1,3;,3;
2024/01/02;0400 UTC;0;979,6;980,3;979,6;;23,1;22,4;23,1;23;22,4;22,3;96;96;96;340;2,4;,5;
2024/01/02;0500 UTC;0;978,8;979,6;978,8;;22,9;22,2;23,1;22,9;22,4;22,2;96;96;96;338;2,5;,3;
2024/01/02;0600 UTC;0;978,5;978,8;978,5;;23;22,3;23;22,9;22,3;22,1;96;96;96;2;1,9;,6;
2024/01/02;0700 UTC;0;978,6;978,6;978,5;;23,1;22,3;23,1;23;22,3;22,3;96;95;95;327;2,5;,3;
2024/01/02;0800 UTC;1,2;978,9;979;978,6;;23,1;22,4;23,2;23;22,4;22,2;95;95;95;269;2,2;,1;
2024/01/02;0900 UTC;0;979,3;979,3;978,8;14,1;23,2;22,4;23,2;23;22,4;22,3;96;95;96;323;1,6;,2;
2024/01/02;1000 UTC;0;980;980,1;979,3;257;23,9;22,9;23,9;23,2;23;22,5;96;94;94;323;5;1,8;
2024/01/02;1100 UTC;0;980,4;980,4;980;680,7;25,5;23,6;25,5;23,9;23,6;22,9;94;89;89;298;7;3;
2024/01/02;1200 UTC;0;980,4;980,5;980,3;1800,5;26,8;23,5;26,9;25,2;23,8;22,9;89;81;82;298;7;2,5;
2024/01/02;1300 UTC;0;980,4;980,5;980,4;1699,1;27;22,8;27,7;26,4;23,9;22,7;82;77;78;295;5,9;2,8;
2024/01/02;1400 UTC;0;979,8;980,4;979,7;2708,9;28,7;23,9;29;27;24,7;22,4;80;72;75;341;5,6;2,7;
2024/01/02;1500 UTC;0;978,7;979,8;978,7;2839,1;27,8;24,1;30,3;27,5;24,6;22,7;80;67;80;338;5,5;2,7;
2024/01/02;1600 UTC;0;977,6;978,7;977,6;2849,1;30;23,8;31,5;27,8;25,5;22,7;80;64;69;287;5,6;2,1;
2024/01/02;1700 UTC;0;976,5;977,6;976,5;2326,4;29,6;23,5;31,3;28,8;24,9;22,7;73;61;70;3;6,8;2,3;
2024/01/02;1800 UTC;0;975,7;976,5;975,7;1986,4;29,7;23,5;31,6;28,3;24,6;23,1;75;63;70;27;6,9;1,6;
2024/01/02;1900 UTC;30;976,6;976,8;975,7;418,8;23,3;22,6;29,7;23;23,9;22;96;67;96;304;10,7;2,6;
2024/01/02;2000 UTC;4;976,3;976,6;976,1;41,2;23,4;22,9;23,4;22,9;22,9;22,3;97;96;97;68;6;,6;
2024/01/02;2100 UTC;,4;977,5;977,6;976,3;16,2;23,7;23,1;23,8;23,3;23,2;22,8;97;97;97;16;4,7;,5;
2024/01/02;2200 UTC;1,2;978,1;978,1;977,5;,8;23,6;23;23,8;23,6;23,2;23;97;96;96;23;4;1,2;
2024/01/02;2300 UTC;,4;978,7;978,7;978;;23,7;23,1;23,7;23,6;23,1;23;96;96;96;24;2,5;1;
2024/01/03;0000 UTC;,2;979,1;979,1;978,7;;23,7;23;23,8;23,7;23,2;23;96;96;96;6;2,9;1,3;
2024/01/03;0100 UTC;0;979,8;979,8;979,1;;24;23;24;23,6;23,1;22,9;96;94;94;358;5,8;2,4;
2024/01/03;0200 UTC;,2;980,1;980,1;979,8;1,5;23,5;22,4;24;23,5;23;22,4;94;93;94;348;6,9;2,7;
2024/01/03;0300 UTC;9;979,7;980,1;979,7;,3;22,9;22,2;23,5;22,9;22,4;22,1;96;94;96;354;7,1;2,4;
2024/01/03;0400 UTC;4,4;979,1;979,7;979,1;;22,9;22,2;23;22,8;22,3;22,1;96;95;95;343;6,1;1,3;
2024/01/03;0500 UTC;1,8;978,5;979,1;978,5;;22,9;22,1;23;22,9;22,2;22,1;96;95;95;350;5;2,3;
2024/01/03;0600 UTC;,2;978,3;978,5;978,2;;22,9;22,1;23;22,8;22,1;22;95;95;95;321;5,3;1,7;
2024/01/03;0700 UTC;,4;978,3;978,3;978,2;;22,9;22,1;22,9;22,9;22,1;22;95;95;95;342;5;1,8;
2024/01/03;0800 UTC;,2;978,6;978,6;978,3;;22,7;21,8;22,9;22,7;22,1;21,7;95;94;94;345;5,5;2,5;
2024/01/03;0900 UTC;0;979,4;979,4;978,6;7,3;22,8;21,8;22,8;22,7;21,8;21,7;95;94;94;341;5,7;1,8;
2024/01/03;1000 UTC;0;980,3;980,3;979,4;170,1;23,3;22,2;23,3;22,8;22,2;21,8;94;93;93;348;4,4;1,5;
2024/01/03;1100 UTC;0;980,9;980,9;980,3;608,3;24,3;22,5;24,3;23,3;22,6;22,1;93;89;90;335;4,5;2;
2024/01/03;1200 UTC;0;981,5;981,5;980,9;990,2;25,2;22,6;25,5;24,3;23,5;22,2;90;84;86;357;4,5;2,4;
2024/01/03;1300 UTC;0;981,4;981,5;981,4;1933,4;26,6;23,1;26,9;25,2;23,7;22,4;87;79;81;354;6,7;2,9;
2024/01/03;1400 UTC;0;980,7;981,4;980,7;2208,5;27,3;23,1;28;26,6;24,3;22,6;82;75;78;350;7;2,1;
2024/01/03;1500 UTC;,2;979,8;980,7;979,7;2286,4;27;24;28,6;25,6;24,8;22,5;90;74;84;357;8,1;2,9;
2024/01/03;1600 UTC;0;978,6;979,8;978,6;3819;29;22,7;30,3;27;25,3;22,6;85;65;69;338;8;3,1;
2024/01/03;1700 UTC;3,4;978;978,6;978;1402,3;24,2;22,8;30,7;24,1;24,5;21,8;92;64;92;269;11,5;4,4;
2024/01/03;1800 UTC;,2;976,9;978;976,9;1822,8;26,7;22,5;27,1;24,2;23,9;22,4;92;77;78;300;7,6;2,5;
2024/01/03;1900 UTC;0;976,5;976,9;976,5;1707,5;28,3;23,2;28,7;26,7;24,3;22,7;79;73;74;303;6,2;2,1;
