REGIAO:;SE
UF:;ES
ESTACAO:;SANTA TERESA
CODIGO (WMO):;A613
LATITUDE:;-19,98833333
LONGITUDE:;-40,57944443
ALTITUDE:;975,92
DATA DE FUNDACAO:;09/08/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;906,4;906,4;906;;17,6;16,8;17,8;17,6;16,9;16,8;95;94;95;226;7,6;3,3;
2024/01/01;0100 UTC;0;906,5;906,6;906,4;;17,4;16,7;17,6;17,4;16,9;16,7;96;95;96;218;7,8;3,1;
2024/01/01;0200 UTC;0;906,3;906,5;906,3;;17,2;16,6;17,5;17,2;16,7;16,6;96;96;96;224;7,1;3,7;
2024/01/01;0300 UTC;,2;906,1;906,4;906,1;;17;16,3;17,3;17;16,6;16,3;96;96;96;223;7,6;3,2;
2024/01/01;0400 UTC;0;905,6;906,1;905,6;;16,8;16,2;17;16,7;16,4;16,1;96;96;96;225;8,1;4,1;
2024/01/01;0500 UTC;0;905;905,6;905;;16,7;16,1;16,8;16,7;16,2;16,1;96;96;96;224;8,1;3,6;
2024/01/01;0600 UTC;0;905;905,1;904,9;;16,7;16,1;16,8;16,6;16,2;16;96;96;96;223;7;2,8;
2024/01/01;0700 UTC;0;904,8;905;904,8;;16,8;16,2;16,8;16,7;16,2;16,1;96;96;96;218;6,4;3,3;
2024/01/01;0800 UTC;0;905,1;905,1;904,7;;16,7;16,1;16,9;16,7;16,2;16,1;96;96;96;209;6,6;2,5;
2024/01/01;0900 UTC;,4;905,6;905,6;905,1;56,7;16,9;16,3;17;16,7;16,4;16,1;96;96;96;212;6,2;2,7;
2024/01/01;1000 UTC;,2;905,7;905,7;905,6;235,7;17,6;16,9;17,6;16,9;17;16,3;96;96;96;202;7,2;3,2;
2024/01/01;1100 UTC;0;905,9;905,9;905,7;482;17,9;17,2;18,3;17,5;17,6;16,8;96;96;96;203;7,2;2,7;
2024/01/01;1200 UTC;,4;906,2;906,2;905,9;853,2;18,5;17,8;18,8;17,9;18,1;17,2;96;96;96;188;7,4;3,1;
2024/01/01;1300 UTC;,4;906,1;906,2;906;927,8;19;18,2;19,3;18,3;18,5;17,6;96;96;96;188;6,5;2,1;
2024/01/01;1400 UTC;,4;906,1;906,2;906,1;543,7;18,9;18,2;19,2;18,6;18,5;17,9;96;96;96;165;7;2,3;
2024/01/01;1500 UTC;1;905,9;906,2;905,9;699,5;19;18,3;19,2;18,7;18,5;18;96;96;96;168;6,5;2;
2024/01/01;1600 UTC;,4;905,3;905,9;905,3;620,8;18,6;17,9;19,2;18,5;18,4;17,8;96;95;96;171;7,5;2;
2024/01/01;1700 UTC;,4;904,7;905,3;904,7;537,2;18,8;18;19,1;18,5;18,4;17,8;96;96;96;182;5,9;2,4;
