REGIAO:;SE
UF:;SP
ESTACAO:;VALPARAISO
CODIGO (WMO):;A734
LATITUDE:;-21,31916666
LONGITUDE:;-50,93027777
ALTITUDE:;381,9
DATA DE FUNDACAO:;30/08/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;968,5;968,5;968;;24,8;22;26,2;24,8;22;21,3;85;74;85;356;10,3;2,5;
2024/01/01;0100 UTC;0;969;969;968,4;;24,6;21,7;24,8;24,5;22,1;21,7;86;84;84;341;5,5;2,2;
2024/01/01;0200 UTC;0;969,4;969,4;969;;24,3;21,7;24,6;24,2;21,8;21,5;86;84;86;273;5,4;1,9;
2024/01/01;0300 UTC;0;968,9;969,4;968,9;;23,6;21,4;24,3;23,6;21,7;21,4;87;86;87;270;4,3;,5;
2024/01/01;0400 UTC;0;968,5;968,9;968,5;;23,1;21,4;23,6;23,1;21,4;21,3;90;87;90;212;2,3;,3;
2024/01/01;0500 UTC;0;968,6;968,7;968,2;;22,8;21,2;23,2;22,7;21,4;21,2;91;90;91;177;3,2;1,4;
2024/01/01;0600 UTC;0;968,2;968,7;968,2;;23,2;21,4;23,3;22,8;21,4;21,2;91;89;90;110;3,2;1,2;
2024/01/01;0700 UTC;0;967,7;968,2;967,5;;23,4;21,6;23,4;23,2;21,7;21,4;90;90;90;107;2,9;1,2;
2024/01/01;0800 UTC;0;967,6;967,7;967,4;;22,9;21,3;23,4;22,9;21,6;21,3;91;90;91;166;2,7;,5;
2024/01/01;0900 UTC;0;968;968;967,6;;22,8;20,8;23;22,7;21,4;20,8;91;88;88;145;3,4;1,9;
2024/01/01;1000 UTC;0;968,6;968,6;968;129,3;23,4;19,2;23,4;22,7;20,8;19,2;88;77;77;129;3,8;1,3;
2024/01/01;1100 UTC;0;969,4;969,4;968,6;495,3;24,1;18,1;24,1;23,4;19,2;18,1;77;69;69;133;5,8;3,4;
2024/01/01;1200 UTC;0;969,6;969,6;969,4;1626,7;26,4;18,2;26,6;24,1;18,5;17,8;69;60;61;98;6,9;3,7;
2024/01/01;1300 UTC;0;969,6;969,7;969,6;2485,4;28,1;18,5;28,3;26,4;19,3;18;61;56;56;90;6,9;3,5;
2024/01/01;1400 UTC;0;969,6;969,7;969,5;3250,7;30,5;18,5;30,5;27,7;20;18,1;59;49;49;82;7;4,4;
2024/01/01;1500 UTC;0;968,8;969,6;968,8;3365,8;31,2;19,7;31,6;29,9;19,8;17,9;53;47;50;54;8,1;3,5;
2024/01/01;1600 UTC;0;967,9;968,8;967,9;2547,6;30,9;18,9;32,6;30,3;20,3;18,4;52;45;49;39;7,6;2,9;
2024/01/01;1700 UTC;0;966,6;967,9;966,6;2153;31,5;18,7;33,1;30,9;20,1;18;50;43;47;17;5,9;2;
2024/01/01;1800 UTC;0;965,7;966,6;965,7;1953,5;33,2;18,5;33,2;31,2;19,8;17,7;48;40;42;23;5,8;1,7;
2024/01/01;1900 UTC;0;964,6;965,7;964,6;2590,2;33,3;17,9;34,8;32,5;20;16,9;45;38;40;122;4,9;1,1;
2024/01/01;2000 UTC;0;964;964,6;964;1376,9;32,7;18,5;34,1;30,5;20,9;17,4;55;38;43;352;4,9;,3;
2024/01/01;2100 UTC;0;963,8;964;963,7;737,3;33,3;17,8;33,5;31,2;20,1;17,4;52;40;40;273;2,3;,3;
2024/01/01;2200 UTC;0;964,8;964,8;963,7;264,8;30;19,6;33,3;30;19,6;17,3;54;39;54;355;2,7;1;
2024/01/01;2300 UTC;0;965,5;965,5;964,8;4,3;27,8;19,9;30;27,8;20,2;19,4;63;54;62;51;3;,1;
2024/01/02;0000 UTC;0;966,4;966,4;965,5;;27,1;20,4;28;26,9;20,6;19,5;69;60;67;46;2,5;1,2;
2024/01/02;0100 UTC;0;967,2;967,3;966,3;;26,3;20,2;27,1;25,7;20,4;19,8;71;67;69;9;4,8;2,1;
2024/01/02;0200 UTC;0;967,7;967,7;967,1;;25,4;20,5;26,3;25,4;20,5;20,2;74;69;74;12;4,8;1,4;
2024/01/02;0300 UTC;0;967,6;967,8;967,6;;24,7;20,9;25,4;24,6;20,9;20,5;79;74;79;344;2,9;,4;
2024/01/02;0400 UTC;0;967,1;967,6;967;;24,3;21,2;24,7;24,3;21,2;20,9;83;79;83;79;1,9;,9;
2024/01/02;0500 UTC;0;966,9;967,1;966,9;;24;20,6;24,3;23,8;21,2;20,4;83;80;81;119;6,1;3,3;
2024/01/02;0600 UTC;0;966,5;966,9;966,5;;23,8;20,5;24,1;23,6;20,7;20,5;83;81;82;87;6,1;2,2;
2024/01/02;0700 UTC;0;966,5;966,5;966,2;;24,2;19,9;24,2;23,4;20,5;19,9;82;77;77;90;4,9;2,5;
2024/01/02;0800 UTC;0;966,8;966,9;966,5;;23,5;20,1;24,2;23,5;20,1;19,8;81;77;81;132;4,9;,3;
2024/01/02;0900 UTC;0;967,1;967,1;966,8;;23;20,1;23,4;23;20,2;20;84;81;84;110;4,1;1,9;
2024/01/02;1000 UTC;0;967,3;967,3;966,9;130,9;23,4;19,8;23,5;22,9;20,1;19,8;84;80;80;107;3,6;1,5;
2024/01/02;1100 UTC;0;967,4;967,7;967,3;851,2;25,3;19,7;25,4;23,5;20,1;19,4;80;70;71;69;4,6;1,8;
2024/01/02;1200 UTC;0;966,7;967,4;966,7;1761,4;28,4;21,5;28,4;25,2;21,5;19,7;73;65;66;55;6,4;3,4;
2024/01/02;1300 UTC;0;966,6;966,7;966,1;2557,2;30,2;21,4;30,2;28;21,8;20,6;66;58;59;14;7,3;2,6;
