REGIAO:;S
UF:;PR
ESTACAO:;CLEVELANDIA
CODIGO (WMO):;A876
LATITUDE:;-26,41722221
LONGITUDE:;-52,3486111
ALTITUDE:;966,06
DATA DE FUNDACAO:;15/05/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;905,7;905,7;905,1;;19,6;16,3;21,1;19,6;16,5;15,5;81;71;81;159;2,2;1,5;
2024/01/01;0100 UTC;0;906,7;906,7;905,7;;19,1;16,3;20;19;16,7;16,2;85;80;84;96;3,3;,3;
2024/01/01;0200 UTC;0;907;907;906,7;;19,1;15,3;19,3;18,6;16,4;15,2;87;78;78;48;4,9;1,3;
2024/01/01;0300 UTC;0;906,8;907;906,8;;18;15,3;19,2;17,9;15,4;15,1;85;78;84;34;5,5;2,9;
2024/01/01;0400 UTC;0;906,5;906,8;906,5;;17,7;15,4;18;17,5;15,4;15,2;87;84;86;8;5,5;3;
2024/01/01;0500 UTC;0;905,9;906,5;905,9;;17,5;15,7;17,8;17,4;15,7;15,4;90;86;90;34;7,8;4,3;
2024/01/01;0600 UTC;0;905,5;905,9;905,4;;17,3;15,8;17,6;17,2;15,8;15,7;91;89;91;40;9,2;4,9;
2024/01/01;0700 UTC;0;904,9;905,6;904,9;;16,7;15,6;17,2;16,5;15,7;15,5;94;91;93;36;9,9;5,5;
2024/01/01;0800 UTC;0;904,8;905,1;904,7;;16,1;15,3;16,7;16,1;15,6;15,3;95;93;95;29;9,5;5,8;
2024/01/01;0900 UTC;0;905,4;905,5;904,8;25,7;16,1;15,1;16,2;15,9;15,3;15;95;93;93;34;8,9;5,1;
2024/01/01;1000 UTC;0;906,1;906,1;905,4;473,9;17,6;15,4;17,6;16,1;15,5;15;93;87;87;38;9,6;4,9;
2024/01/01;1100 UTC;0;906,4;906,4;906,1;1464,2;19,9;16,2;19,9;17,6;16,2;15,3;87;79;79;26;8,7;4,5;
2024/01/01;1200 UTC;0;906,8;906,8;906,3;2195,2;21,8;16,3;21,8;19,8;16,8;15,7;79;70;71;28;8,3;5;
2024/01/01;1300 UTC;0;906,8;906,9;906,7;2883,2;23,5;16,9;23,5;21,8;17,4;16,1;72;65;67;32;7,6;4,2;
2024/01/01;1400 UTC;0;906,7;906,8;906,7;3473,2;25,3;16,9;25,4;23,3;17,8;16,3;67;60;60;33;7,7;2,8;
2024/01/01;1500 UTC;0;906,3;906,7;906,3;3477,2;26,1;17,3;26,3;24,8;18,2;14,9;65;50;58;334;7,1;2;
2024/01/01;1600 UTC;0;905,7;906,3;905,7;1850,7;25,3;16,7;26,9;24,4;18,1;14,3;63;49;59;30;6,4;1,6;
2024/01/01;1700 UTC;0;905;905,7;905;1950,8;26,1;14,9;27,5;25;18,1;13,6;61;45;50;301;5,3;1,8;
2024/01/01;1800 UTC;0;904,3;905;904,3;2120,9;29;19;29,3;25,1;19;12,3;57;38;55;275;6;2,3;
2024/01/01;1900 UTC;0;903,7;904,3;903,7;2822,5;28,3;16,5;29,9;27,1;18,7;12,5;55;40;49;206;6,2;2,7;
2024/01/01;2000 UTC;0;903;903,7;902,9;1352,7;26,6;17,1;28,3;25,2;17,6;15,3;60;49;56;151;5,7;3;
2024/01/01;2100 UTC;0;902,7;903;902,7;941,8;26,3;16,7;26,8;26,3;17,4;16;57;52;56;164;5,2;2,1;
2024/01/01;2200 UTC;0;903,3;903,3;902,7;240,4;24,4;16,4;26,3;24,4;17,1;16,1;62;54;61;190;4,1;1,5;
2024/01/01;2300 UTC;0;904;904;903,3;8,4;21,5;16,8;24,4;21,5;17;16,2;75;61;75;165;2,1;1,2;
2024/01/02;0000 UTC;0;904,5;904,5;903,9;;21,6;16,6;22;21,4;16,8;16,1;75;70;73;125;2,9;1,5;
2024/01/02;0100 UTC;0;905,2;905,2;904,5;;20,7;17;21,6;20,1;17,1;16,6;82;73;79;42;4,6;2,9;
2024/01/02;0200 UTC;0;905;905,2;904,9;;19,8;16,6;20,7;19,4;17,1;16,5;84;79;81;29;4,6;2,3;
2024/01/02;0300 UTC;0;904,9;905;904,8;;19,5;16,4;19,9;19,3;16,5;16,4;84;81;82;15;4,5;2,7;
2024/01/02;0400 UTC;0;904,1;904,9;904,1;;19,3;16,1;19,6;18,9;16,5;16,1;86;81;82;25;5;3,3;
2024/01/02;0500 UTC;0;903,6;904,1;903,6;;18,9;15,6;19,4;18,9;16,1;15,6;82;79;81;32;6,8;4,4;
2024/01/02;0600 UTC;0;903,2;903,6;903,2;;17,9;15,6;18,9;17,9;15,7;15,4;87;81;87;36;8,6;5,5;
