REGIAO:;S
UF:;RS
ESTACAO:;ENCRUZILHADA DO SUL
CODIGO (WMO):;A893
LATITUDE:;-30,54305555
LONGITUDE:;-52,52472221
ALTITUDE:;427,75
DATA DE FUNDACAO:;15/03/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;967,7;967,7;967,4;;17,9;13,2;19;17,9;13,2;12,8;74;67;74;102;7;2,7;
2024/01/01;0100 UTC;0;968;968,1;967,7;;17,2;14,5;18;17,2;14,5;13,3;84;74;84;104;7,2;2,6;
2024/01/01;0200 UTC;0;968,3;968,3;967,9;;16,7;14,4;17,2;16,7;14,6;14,3;86;84;86;100;7;2,8;
2024/01/01;0300 UTC;0;968,4;968,5;968,2;;16;14,3;16,7;16;14,4;14,3;89;86;89;113;6,8;2,1;
2024/01/01;0400 UTC;0;967,7;968,4;967,5;;15,4;14,2;16;15,4;14,3;14,2;93;90;93;95;6,1;1,7;
2024/01/01;0500 UTC;0;967,4;967,9;967,4;;15,1;14;15,4;15,1;14,2;14;94;93;94;118;5,1;1,5;
2024/01/01;0600 UTC;0;966,9;967,4;966,8;;15;14;15,1;14,9;14,1;14;95;94;94;130;4,9;1,8;
2024/01/01;0700 UTC;0;966,4;966,9;966,4;;15,2;14,2;15,2;14,9;14,3;14;95;94;94;109;5,5;2,3;
2024/01/01;0800 UTC;0;966,5;966,6;966,1;;15,2;14,5;15,3;15,2;14,5;14,2;95;94;95;83;7,4;1,6;
2024/01/01;0900 UTC;0;966,2;966,5;966,2;17,7;15,5;14,8;15,5;15;14,8;14,4;97;95;95;102;5,1;2,4;
