REGIAO:;S
UF:;SC
ESTACAO:;JOACABA
CODIGO (WMO):;A841
LATITUDE:;-27,16916666
LONGITUDE:;-51,55888888
ALTITUDE:;767,63
DATA DE FUNDACAO:;20/09/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;926,8;926,8;925,9;;;;;;;;77;65;75;311;2,6;1,9;
2024/01/01;0100 UTC;0;927,3;927,3;926,8;;;;;;;;76;69;74;82;2,6;2,1;
2024/01/01;0200 UTC;0;927,8;927,8;927,3;;;;;;;;79;74;77;51;3,4;2,1;
2024/01/01;0300 UTC;0;927,8;928;927,8;;;;;;;;79;76;78;61;4,4;3;
2024/01/01;0400 UTC;0;927,4;927,8;927,4;;;;;;;;80;78;80;68;6;3,2;
2024/01/01;0500 UTC;0;927;927,5;926,9;;;;;;;;84;80;83;67;7,3;4,2;
2024/01/01;0600 UTC;0;926,4;927,1;926,2;;;;;;;;85;83;84;63;8;4,3;
2024/01/01;0700 UTC;0;926,1;926,4;925,8;;;;;;;;85;83;84;57;8,6;4,2;
2024/01/01;0800 UTC;0;926,5;926,6;926;;;;;;;;84;77;78;45;11,2;5,9;
2024/01/01;0900 UTC;0;927,3;927,3;926,4;25;;;;;;;79;77;78;44;10,4;4,3;
2024/01/01;1000 UTC;0;927,7;927,7;927,3;479,2;;;;;;;79;75;75;51;8,4;4,9;
2024/01/01;1100 UTC;0;927,9;928;927,6;1384,3;;;;;;;76;70;70;60;10,1;5;
2024/01/01;1200 UTC;0;928,1;928,1;927,9;2118,3;;;;;;;71;67;68;66;9,4;6,3;
2024/01/01;1300 UTC;0;927,9;928,1;927,9;2842,3;;;;;;;68;62;62;44;9,3;4,1;
2024/01/01;1400 UTC;0;927,7;928;927,6;3284,3;;;;;;;65;58;61;69;8,1;4,8;
2024/01/01;1500 UTC;0;927;927,7;927;3634,5;;;;;;;61;56;58;80;8,1;3,7;
2024/01/01;1600 UTC;0;926,1;927;926,1;3935,2;;;;;;;59;53;55;101;7;3,3;
2024/01/01;1700 UTC;0;925,3;926,1;925,3;3538,3;;;;;;;55;48;51;108;7,5;3;
2024/01/01;1800 UTC;0;924,6;925,3;924,6;1368,4;;;;;;;58;48;49;74;5,5;1,6;
2024/01/01;1900 UTC;0;924,5;924,7;924,3;1791;;;;;;;59;45;59;266;4,5;1,8;
2024/01/01;2000 UTC;1,4;923,8;924,6;923,8;1000;;;;;;;78;59;66;38;5,3;1,4;
2024/01/01;2100 UTC;0;923,6;923,9;923,4;954,1;;;;;;;76;60;76;291;3,2;1,9;
2024/01/01;2200 UTC;0;923,6;923,6;923,5;318,5;;;;;;;87;76;87;302;3,2;1,1;
2024/01/01;2300 UTC;0;924,4;924,4;923,6;6,1;;;;;;;89;74;79;323;2,9;1,1;
2024/01/02;0000 UTC;0;924,9;924,9;924,4;;;;;;;;85;74;78;30;2,9;2;
2024/01/02;0100 UTC;0;925,6;925,6;924,9;;;;;;;;80;73;78;57;2,8;1,9;
2024/01/02;0200 UTC;0;925,8;925,8;925,6;;;;;;;;84;77;84;84;3,5;2,5;
2024/01/02;0300 UTC;0;925,6;925,8;925,5;;;;;;;;85;82;82;50;6,1;3,9;
2024/01/02;0400 UTC;0;924,7;925,6;924,7;;;;;;;;82;78;78;49;8,5;5,6;
2024/01/02;0500 UTC;0;924,4;924,8;924,3;;;;;;;;83;78;83;67;8,5;3,5;
2024/01/02;0600 UTC;0;924,2;924,4;924,2;;;;;;;;85;83;83;58;6,7;3,1;
2024/01/02;0700 UTC;0;924,5;924,5;924,2;;;;;;;;84;80;80;58;6,9;3,9;
2024/01/02;0800 UTC;0;924,7;924,8;924,5;;;;;;;;80;77;78;59;9,7;5;
2024/01/02;0900 UTC;0;925;925;924,5;38,5;;;;;;;81;78;80;60;8,7;4,4;
2024/01/02;1000 UTC;0;925,5;925,5;924,9;299,9;;;;;;;80;79;80;54;9,3;5,5;
2024/01/02;1100 UTC;0;925,6;925,8;925,4;1217,4;;;;;;;80;73;73;43;9,3;5,1;
2024/01/02;1200 UTC;0;925;925,6;925;1186,6;;;;;;;81;72;74;65;7,8;5,1;
2024/01/02;1300 UTC;0;925,1;925,2;925;2107,8;;;;;;;75;67;69;64;7,6;2,8;
2024/01/02;1400 UTC;,8;925,3;925,3;925,1;1432,7;;;;;;;78;65;74;89;5,2;1;
2024/01/02;1500 UTC;5;925,5;925,6;925,1;319,8;;;;;;;95;75;95;205;4,4;1,3;
2024/01/02;1600 UTC;,2;925,4;925,6;925,4;587,8;;;;;;;97;89;93;89;4,9;3,8;
2024/01/02;1700 UTC;,2;924,7;925,4;924,7;1149;;;;;;;94;83;83;70;5,8;1,8;
2024/01/02;1800 UTC;0;924,4;924,7;924,4;1876,1;;;;;;;88;81;82;71;4,2;1,8;
2024/01/02;1900 UTC;0;924;924,4;923,8;1379,4;;;;;;;83;74;80;107;5,3;3,1;
2024/01/02;2000 UTC;0;923,3;924,1;923,3;879,5;;;;;;;84;76;83;97;5;3,6;
2024/01/02;2100 UTC;,2;923,8;923,8;923,1;579,9;;;;;;;91;83;87;54;8;3,8;
2024/01/02;2200 UTC;0;924,6;924,6;923,7;138;;;;;;;95;85;95;85;8;2,8;
2024/01/02;2300 UTC;,2;925;925;924,6;,2;;;;;;;97;95;97;69;5,1;2,4;
2024/01/03;0000 UTC;,2;925;925,2;924,8;;;;;;;;97;96;96;58;6,7;4;
2024/01/03;0100 UTC;0;925;925,3;925;;;;;;;;97;96;96;56;6;2,9;
2024/01/03;0200 UTC;0;925,1;925,4;925;;;;;;;;97;96;97;67;5,1;2,3;
2024/01/03;0300 UTC;0;925,1;925,2;925;;;;;;;;97;96;96;66;5,5;3,1;
2024/01/03;0400 UTC;0;924,8;925,2;924,8;;;;;;;;97;95;96;66;5,1;2,8;
2024/01/03;0500 UTC;0;924;924,8;924;;;;;;;;96;93;94;59;5,1;3,3;
2024/01/03;0600 UTC;0;923,6;924;923,6;;;;;;;;95;94;94;58;5,3;3,2;
2024/01/03;0700 UTC;0;923,4;923,7;923,4;;;;;;;;95;92;95;59;5,8;3,3;
2024/01/03;0800 UTC;0;923,4;923,4;923,3;;;;;;;;97;95;97;59;6,2;3,3;
2024/01/03;0900 UTC;0;924;924;923,4;36,9;;;;;;;97;95;95;65;4,8;2,8;
2024/01/03;1000 UTC;0;924,6;924,6;923,9;560,5;;;;;;;95;89;89;68;5,7;3,4;
2024/01/03;1100 UTC;0;925,5;925,6;924,6;1365,9;;;;;;;90;83;85;78;6,8;3,8;
2024/01/03;1200 UTC;0;926;926;925,5;1935,3;;;;;;;85;79;80;71;7;3;
2024/01/03;1300 UTC;0;926;926;925,9;2178,5;;;;;;;82;74;76;65;6,4;3,2;
2024/01/03;1400 UTC;0;926,5;926,5;926;3309,2;;;;;;;77;68;68;94;6,2;3;
2024/01/03;1500 UTC;0;925,7;926,5;925,7;3677,4;;;;;;;72;63;67;85;7,1;3,1;
2024/01/03;1600 UTC;0;924,9;925,7;924,9;2023,4;;;;;;;69;60;66;159;6,8;2,1;
